,n_rep,categories,session,clust,accuracy,accuracy_std,accuracy_sem,weighted_accuracy,weighted_accuracy_std,weighted_accuracy_sem,synthetic_control_accuracy,synthetic_control_accuracy_std,synthetic_control_accuracy_sem,synthetic_control_weighted_accuracy,synthetic_control_weighted_accuracy_std,synthetic_control_weighted_accuracy_sem,pval_synthetic_control,pval_weighted_synthetic_control,fraction_empty_trials
0,500,response,AE_238_10_AC.pickle,7,0.6897071881606766,0.07009365509041234,0.00313782294489897,0.6900985821478869,0.07518875322786411,0.0033659108627224336,0.5027420718816068,0.11049746718693518,0.004946545981161311,0.4982326102266521,0.07622305172037638,0.0034122124222215515,8.495270230160909e-118,1.046834183093015e-141,0.30065010570824524
1,500,response,AE_238_10_AC.pickle,17,0.6854503171247358,0.03181350895989705,0.0014241682537934643,0.5178436270995432,0.03704569207642695,0.0016583929380931165,0.500553911205074,0.13985017642409042,0.006260553710113256,0.501870026661524,0.05934773693253615,0.0026567695811344863,4.2541895217048064e-99,9.604685938345136e-08,0.8769534883720931
2,500,response,AE_238_10_AC.pickle,18,0.6586004228329809,0.03696334394802427,0.001654706529580989,0.4920570462954299,0.03595195733529733,0.001609430646685672,0.5019249471458773,0.12807878777081735,0.00573359398227598,0.4983120593052808,0.06844580474197277,0.0030640550321481812,5.195683093704506e-84,0.10611786726232213,0.7425877378435517
3,500,response,AE_238_10_AC.pickle,26,0.5768678646934461,0.07240634710939192,0.0032413532583385877,0.4465825446130455,0.06429690220626251,0.0028783246467672377,0.5026712473572938,0.12226520523760159,0.00547334228558163,0.4963072341604886,0.06791224616080722,0.0030401696696817854,4.482760060963026e-22,1.2908130608986523e-29,0.5718033826638478
4,500,response,AE_238_10_AC.pickle,35,0.6859408033826638,0.03144419645095151,0.001407635555321502,0.5135189451657205,0.035186343828925236,0.001575157079069314,0.511931289640592,0.13816358461525172,0.00618505149140849,0.5008855788152344,0.0566597535411274,0.0025364389185347064,6.079214743408139e-95,4.5252170840167e-05,0.7859006342494715
5,500,response,AE_238_10_AC.pickle,38,0.7385346153846153,0.032916232888560694,0.0014735329565013877,0.5312345661596748,0.04589766271800185,0.0020546615668424403,0.4887410256410257,0.17237381150902414,0.007716511575192338,0.4978774594466132,0.06747282439437352,0.0030204984498056753,1.0768714190982687e-115,4.0105937084907653e-19,0.8304166666666667
6,500,response,AE_238_10_AC.pickle,48,0.5769968287526427,0.06334780879103459,0.0028358373903770084,0.5455436975768373,0.09464593114690517,0.00423693377112402,0.5071818181818182,0.11121285897476473,0.004978571315887377,0.4984228938668492,0.07035808141306653,0.0031496602928213937,1.08419494148592e-24,5.5812866693110394e-14,0.4897389006342494
7,500,response,AE_238_10_AC.pickle,49,0.8490043010752689,0.04285229580086986,0.0019183322204003534,0.5428413454411277,0.08594872808625897,0.003847593490824184,0.5155139784946237,0.26869612072150406,0.012028490335077476,0.5054247874550881,0.1005469061811393,0.004501097693462099,1.8755712188918616e-90,1.9850697206325597e-07,0.7631333333333333
8,500,response,AE_238_10_AC.pickle,52,,,,,,,,,,,,,,,
9,500,response,AE_238_10_AC.pickle,55,0.8274733333333334,0.07295549906925758,0.003265936676305307,0.5731292317596568,0.21783080491522072,0.009751446074357796,0.5829500000000001,0.26101284078672365,0.011684539487595798,0.4964370064377683,0.21155913195152323,0.009470687433607669,8.495842933409985e-55,1.96736382484886e-05,0.54752
