,n_rep,categories,session,clust,accuracy,accuracy_std,accuracy_sem,weighted_accuracy,weighted_accuracy_std,weighted_accuracy_sem,synthetic_control_accuracy,synthetic_control_accuracy_std,synthetic_control_accuracy_sem,synthetic_control_weighted_accuracy,synthetic_control_weighted_accuracy_std,synthetic_control_weighted_accuracy_sem,pval_synthetic_control,pval_weighted_synthetic_control,fraction_empty_trials
354,500,stimulus,BS_108_1_AC.pickle,2,0.554858974,0.119301509,0.005340669,0.565956218,0.119200247,0.005336136,0.501397436,0.106963052,0.004788324,0.500363181,0.106366214,0.004761606,1.23E-11,3.34E-19,0.529179487
355,500,stimulus,BS_108_1_AC.pickle,8,0.723089744,0.114561666,0.005128484,0.720859295,0.11515278,0.005154946,0.496358974,0.131612005,0.005891763,0.496321261,0.131597485,0.005891112,3.11E-106,9.06E-104,0.024230769
356,500,stimulus,BS_108_1_AC.pickle,9,0.558858974,0.134577662,0.006024524,0.560515438,0.134968492,0.00604202,0.504102564,0.132098946,0.005913561,0.504236031,0.131649569,0.005893444,6.44E-10,7.32E-11,0.040269231
357,500,stimulus,BS_108_1_AC.pickle,14,0.536423077,0.130766855,0.005853928,0.535172779,0.131402711,0.005882393,0.501858974,0.13206278,0.005911942,0.501824248,0.132550879,0.005933792,0.000105605,0.000678451,0.239807692
358,500,stimulus,BS_108_1_AC.pickle,34,0.637192308,0.124991847,0.005595404,0.641831651,0.124157562,0.005558056,0.513179487,0.126888247,0.005680298,0.512582185,0.127216353,0.005694986,2.33E-46,1.03E-51,0.089
359,500,stimulus,BS_108_1_AC.pickle,35,0.523833333,0.131714544,0.005896353,0.526369899,0.131637808,0.005892918,0.498012821,0.139156893,0.006229518,0.498107238,0.13914318,0.006228904,0.006554765,0.001969925,0.153205128
360,500,stimulus,BS_108_2_AC.pickle,2,0.568287879,0.142076018,0.006360196,0.570132168,0.141263872,0.006323839,0.4935,0.140814125,0.006303706,0.493133586,0.140389892,0.006284715,2.97E-16,3.47E-17,0
361,500,stimulus,BS_108_2_AC.pickle,6,,,,,,,,,,,,,,,
362,500,stimulus,BS_108_2_AC.pickle,7,0.617348485,0.133277773,0.005966333,0.621584347,0.132849432,0.005947157,0.502757576,0.130457868,0.005840096,0.502229761,0.130277033,0.005832001,4.53E-38,2.53E-41,0.077545455
363,500,stimulus,BS_108_2_AC.pickle,26,0.555424242,0.133604267,0.005980948,0.568881958,0.132611946,0.005936526,0.503409091,0.130895302,0.005859678,0.503344289,0.130359543,0.005835695,9.64E-10,1.64E-14,0.482
364,500,stimulus,BS_108_3_AC.pickle,19,0.562005807,0.075898794,0.003397697,0.563346933,0.075818782,0.003394115,0.501939605,0.076009877,0.003402669,0.501642459,0.076154304,0.003409135,2.96E-31,1.57E-32,0.223550523
365,500,stimulus,BS_108_3_AC.pickle,35,0.624403805,0.052683609,0.002358442,0.635083467,0.052543054,0.00235215,0.494503171,0.067646852,0.003028289,0.493604117,0.06716431,0.003006687,1.34E-124,3.57E-134,0.459807611
366,500,stimulus,BS_108_3_AC.pickle,44,0.598174419,0.065226471,0.002919938,0.602560649,0.06571286,0.002941712,0.499604651,0.075517205,0.003380614,0.499638842,0.07571631,0.003389528,2.06E-75,1.03E-79,0.057483087
367,500,stimulus,BS_108_3_AC.pickle,46,0.872709091,0.094041487,0.004209875,0.869860001,0.096072882,0.004300813,0.4934,0.141176557,0.006319931,0.492660138,0.140392866,0.006284848,2.10E-156,1.01E-154,0.317927273
368,500,stimulus,BS_108_3_AC.pickle,62,0.520584567,0.070897101,0.00317379,0.519400097,0.070681344,0.003164132,0.499274841,0.073800402,0.00330376,0.499238799,0.073574817,0.003293661,4.43E-06,1.38E-05,0.046029598
369,500,stimulus,BS_108_3_AC.pickle,81,0.514957717,0.057735241,0.002584584,0.530359194,0.058451645,0.002616655,0.503116279,0.07212233,0.003228639,0.502906602,0.072363347,0.003239428,0.002445536,1.02E-11,0.280487315
370,500,stimulus,BS_108_3_AC.pickle,88,0.560750529,0.067735416,0.003032254,0.554033352,0.068463738,0.003064858,0.495372093,0.071068567,0.003181466,0.494967548,0.070879932,0.003173022,1.37E-41,1.37E-34,0.068968288
371,500,stimulus,BS_108_3_AC.pickle,107,0.497040169,0.072304957,0.003236814,0.495248015,0.072370401,0.003239744,0.502232558,0.075371139,0.003374076,0.50236189,0.075398985,0.003375322,0.252054038,0.111336983,0.209219873
372,500,stimulus,BS_108_3_AC.pickle,131,0.592418605,0.070939549,0.00317569,0.588671869,0.071265832,0.003190297,0.499707188,0.072092758,0.003227315,0.49991282,0.072024901,0.003224277,7.98E-70,5.93E-65,0.032215645
373,500,stimulus,BS_108_3_AC.pickle,144,0.499951374,0.060640858,0.002714658,0.506967637,0.06193333,0.002772517,0.499961945,0.071276231,0.003190762,0.498853034,0.071208274,0.00318772,0.990901428,0.044846633,0.432215645
374,500,stimulus,BS_108_3_AC.pickle,155,0.517361823,0.084854773,0.003798621,0.519848393,0.084965974,0.003803599,0.505883191,0.091796148,0.00410936,0.505482026,0.091709051,0.004105461,0.089321802,0.02888908,0.148905983
375,500,stimulus,BS_108_3_AC.pickle,164,0.5162463,0.069176612,0.00309677,0.522393367,0.069463109,0.003109596,0.500628964,0.076953225,0.003444899,0.500803501,0.077396302,0.003464734,0.000351478,2.07E-06,0.190812896
376,500,stimulus,BS_108_3_AC.pickle,175,0.611803717,0.068086625,0.003047976,0.605061182,0.068241989,0.003054931,0.497874564,0.076275254,0.003414549,0.497551173,0.076165718,0.003409646,7.40E-91,3.68E-84,0.375606272
377,500,stimulus,BS_108_3_AC.pickle,176,0.488748414,0.072055444,0.003225645,0.492710688,0.072563335,0.003248381,0.503706131,0.075948303,0.003399913,0.503217423,0.075784046,0.00339256,0.00418039,0.05459169,0.050561311
378,500,stimulus,BS_108_3_AC.pickle,186,0.516655172,0.075745759,0.003390846,0.529795782,0.07600181,0.003402308,0.500490148,0.087606371,0.0039218,0.500320165,0.086485422,0.003871619,0.004604026,1.03E-07,0.567903941
379,500,stimulus,BS_108_3_AC.pickle,194,0.520415433,0.068210047,0.003053501,0.519059725,0.068395732,0.003061813,0.499774841,0.076332912,0.00341713,0.499719046,0.076588152,0.003428557,1.97E-05,8.73E-05,0.110403805
380,500,stimulus,BS_108_3_AC.pickle,195,0.511336152,0.07281274,0.003259546,0.516146688,0.0734221,0.003286825,0.499319239,0.073290685,0.003280942,0.499693529,0.072717334,0.003255275,0.031450418,0.001855846,0.195371036
381,500,stimulus,BS_108_3_AC.pickle,215,0.53216,0.092152777,0.004125325,0.535387186,0.093090122,0.004167286,0.50504,0.092797621,0.004154192,0.504428379,0.092605132,0.004145575,1.34E-05,4.41E-07,0.26
382,500,stimulus,BS_108_3_AC.pickle,224,0.584308668,0.062744121,0.002808813,0.572963056,0.062433855,0.002794923,0.502820296,0.069884342,0.003128453,0.503310795,0.068874236,0.003083234,8.00E-65,3.38E-52,0.17009408
383,500,stimulus,BS_108_3_AC.pickle,229,0.539137421,0.055224404,0.002472184,0.523484559,0.056090778,0.002510968,0.499980973,0.070333358,0.003148554,0.500366425,0.069937028,0.003130811,6.81E-20,2.27E-07,0.496578224
384,500,stimulus,BS_108_3_AC.pickle,242,0.511651163,0.061918965,0.002771874,0.500915565,0.061854302,0.002768979,0.496983087,0.072555129,0.003248014,0.497365526,0.072737126,0.003256161,0.000208595,0.273797114,0.360871036
385,500,stimulus,BS_108_3_AC.pickle,254,0.622214588,0.068772766,0.003078692,0.618800115,0.069050296,0.003091116,0.502521142,0.074298462,0.003326056,0.502796569,0.07376708,0.003302268,5.72E-97,2.95E-93,0.170104651
386,500,stimulus,BS_108_3_AC.pickle,256,0.513857294,0.071069035,0.003181487,0.515142423,0.071177963,0.003186363,0.494793869,0.074560454,0.003337784,0.494510684,0.074510587,0.003335552,7.02E-05,1.72E-05,0.059788584
387,500,stimulus,BS_108_3_AC.pickle,272,0.536269841,0.074898209,0.003352904,0.532197995,0.075522328,0.003380844,0.500266667,0.082795145,0.00370642,0.499956008,0.08262512,0.003698808,9.95E-12,2.33E-09,0.233612698
388,500,stimulus,BS_108_3_AC.pickle,286,0.521551797,0.068680156,0.003074546,0.515868369,0.068154269,0.003051004,0.50419556,0.069376697,0.003105727,0.50377444,0.069108682,0.00309373,5.75E-05,0.004927721,0.308016913
389,500,stimulus,BS_108_3_AC.pickle,316,0.559033827,0.070386725,0.003150943,0.564830565,0.07024647,0.003144664,0.502922833,0.075080834,0.00336108,0.502638075,0.074810995,0.003349,2.94E-29,2.93E-35,0.206860465
390,500,stimulus,BS_108_3_AC.pickle,340,0.583872093,0.069552843,0.003113613,0.581923342,0.070014509,0.00313428,0.500242072,0.073860274,0.00330644,0.499705323,0.073426996,0.003287044,1.73E-58,2.48E-57,0.255113108
391,500,stimulus,BS_108_3_AC.pickle,348,0.535485201,0.059288792,0.002654131,0.522974951,0.05951602,0.002664303,0.501315011,0.072074526,0.003226499,0.500864707,0.071430562,0.003197671,1.60E-14,6.04E-07,0.296493658
392,500,stimulus,BS_108_3_AC.pickle,361,0.564516913,0.066283591,0.002967261,0.5592938,0.066324641,0.002969099,0.500691332,0.06985104,0.003126962,0.501173789,0.070446622,0.003153624,1.49E-41,2.64E-35,0.082765328
393,500,stimulus,BS_108_3_AC.pickle,362,0.560558405,0.085578301,0.003831011,0.570456746,0.086078566,0.003853406,0.495954416,0.092293077,0.004131606,0.496804796,0.092441643,0.004138256,9.26E-28,1.62E-34,0.203048433
394,500,stimulus,BS_108_3_AC.pickle,364,0.504544397,0.067500613,0.003021742,0.506012477,0.067820113,0.003036045,0.499033827,0.075196395,0.003366253,0.499173794,0.074762415,0.003346825,0.380900574,0.218607706,0.202338266
395,500,stimulus,BS_108_4_AC.pickle,26,0.467110672,0.096296661,0.004310831,0.468790034,0.09611029,0.004302487,0.505486166,0.100340346,0.004491851,0.505661321,0.100127485,0.004482322,3.40E-10,3.55E-09,0.175683794
396,500,stimulus,BS_108_4_AC.pickle,93,,,,,,,,,,,,,,,
397,500,stimulus,BS_108_6_AC.pickle,2,0.652957143,0.075245575,0.003368455,0.654114463,0.075420422,0.003376282,0.501287302,0.084201626,0.003769382,0.501325768,0.084139358,0.003766595,1.84E-111,3.06E-112,0.045434921
398,500,stimulus,BS_108_6_AC.pickle,3,0.529090909,0.079139077,0.003542752,0.5311937,0.079533171,0.003560394,0.50569697,0.082537,0.003694864,0.505526936,0.08224373,0.003681735,2.05E-06,5.92E-08,0.16969697
399,500,stimulus,BS_108_6_AC.pickle,9,0.633777778,0.07180512,0.003214439,0.638489691,0.071585459,0.003204605,0.503444444,0.080164876,0.003588673,0.503640073,0.079560148,0.003561601,6.97E-99,2.52E-105,0.088888889
400,500,stimulus,BS_108_6_AC.pickle,33,0.563701754,0.110545351,0.00494869,0.563574515,0.110583201,0.004950384,0.497350877,0.112923097,0.005055132,0.497374759,0.112952346,0.005056441,7.27E-19,2.72E-18,0.285538012
401,500,stimulus,BS_108_6_AC.pickle,35,0.559285205,0.073633523,0.003296289,0.551951797,0.073751489,0.00330157,0.496188948,0.088055489,0.003941905,0.496212295,0.088310953,0.003953341,1.41E-30,3.57E-24,0.279327986
402,500,stimulus,BS_108_6_AC.pickle,38,0.468932347,0.068306349,0.003057812,0.46182943,0.067666,0.003029146,0.505213531,0.075044683,0.003359461,0.505166399,0.075115613,0.003362637,2.91E-13,1.89E-18,0.291958774
403,500,stimulus,BS_108_6_AC.pickle,39,0.45377193,0.102656896,0.004595554,0.454315231,0.10275346,0.004599877,0.501964912,0.102998561,0.004610849,0.502015438,0.102985224,0.004610252,3.48E-12,2.45E-10,0.278625731
404,500,stimulus,BS_108_6_AC.pickle,47,0.687293561,0.062417922,0.00279421,0.677367625,0.063833224,0.002857568,0.496876894,0.080584402,0.003607453,0.496738189,0.080955543,0.003624068,1.43E-146,1.75E-140,0.398143939
405,500,stimulus,BS_108_6_AC.pickle,48,0.643266385,0.067580986,0.00302534,0.637075162,0.068245887,0.003055105,0.498497886,0.075227927,0.003367665,0.498658954,0.074993733,0.003357181,1.60E-119,2.11E-113,0.181560254
406,500,stimulus,BS_108_6_AC.pickle,49,0.560209302,0.061280732,0.002743302,0.550306521,0.061634276,0.002759129,0.49880444,0.075700776,0.003388832,0.498561007,0.075750993,0.00339108,5.05E-39,5.43E-29,0.135642706
407,500,stimulus,BS_108_6_AC.pickle,50,0.495773784,0.055363083,0.002478392,0.481388727,0.055079744,0.002465708,0.502178647,0.070961834,0.003176688,0.50222463,0.070177991,0.003141598,0.145335721,4.13E-07,0.475849894
408,500,stimulus,BS_108_6_AC.pickle,72,0.493871036,0.069319952,0.003103187,0.496790036,0.069503975,0.003111425,0.504223044,0.070106426,0.003138395,0.504431246,0.070254889,0.003145041,0.00727245,0.039854539,0.059757928
409,500,stimulus,BS_108_6_AC.pickle,73,0.520379832,0.078450086,0.003511908,0.526657658,0.078191169,0.003500317,0.496662185,0.080698627,0.003612567,0.497005693,0.080350664,0.00359699,7.97E-06,1.14E-08,0.263166387
410,500,stimulus,BS_108_6_AC.pickle,76,0.450031712,0.067369094,0.003015855,0.460538311,0.068464617,0.003064897,0.496793869,0.067442386,0.003019136,0.49716804,0.067429953,0.003018579,2.60E-24,2.08E-15,0.121826638
411,500,stimulus,BS_108_6_AC.pickle,78,0.565659537,0.084059894,0.003763038,0.563893367,0.083861587,0.00375416,0.492768271,0.081401259,0.003644021,0.493004281,0.080983987,0.003625341,1.06E-37,3.67E-36,0.232784314
412,500,stimulus,BS_108_6_AC.pickle,79,0.600454791,0.066154206,0.002961469,0.607929196,0.065896118,0.002949915,0.50331444,0.072726045,0.003255665,0.503390474,0.07196234,0.003221477,2.36E-76,4.90E-85,0.476650472
413,500,stimulus,BS_108_6_AC.pickle,82,0.522264271,0.053700186,0.00240395,0.504890667,0.053046527,0.002374689,0.501510571,0.072776925,0.003257943,0.501111619,0.072175493,0.003231019,3.18E-07,0.321842674,0.489643763
414,500,stimulus,BS_108_6_AC.pickle,88,0.50141649,0.062250413,0.002786711,0.513825627,0.062191241,0.002784062,0.499914376,0.070167322,0.003141121,0.5002364,0.070247841,0.003144725,0.708064145,0.001035981,0.354066596
415,500,stimulus,BS_108_6_AC.pickle,90,0.504860215,0.082565954,0.00369616,0.495080247,0.082857652,0.003709218,0.488688172,0.085729974,0.003837801,0.488788808,0.08598267,0.003849113,0.01445815,0.522323634,0.181475269
416,500,stimulus,BS_108_6_AC.pickle,125,0.533182051,0.071514207,0.003201416,0.531513782,0.071322268,0.003192823,0.500316667,0.076485201,0.003423948,0.500625424,0.076240474,0.003412992,3.86E-11,1.97E-09,0.250566667
417,500,stimulus,BS_108_6_AC.pickle,126,0.743181818,0.084788263,0.003795644,0.743181818,0.084788263,0.003795644,0.504272727,0.095748077,0.004286273,0.504272727,0.095748077,0.004286273,8.55E-144,8.55E-144,0.186363636
418,500,stimulus,BS_108_6_AC.pickle,133,0.599415433,0.068971493,0.003087588,0.595662485,0.069511538,0.003111764,0.506289641,0.075383176,0.003374614,0.506399191,0.075701795,0.003388878,2.79E-68,4.65E-63,0.195371036
419,500,stimulus,BS_113_1_AC.pickle,12,,,,,,,,,,,,,,,
420,500,stimulus,BS_113_1_AC.pickle,17,0.527163399,0.098221544,0.004397,0.507964985,0.097620683,0.004370102,0.497666667,0.108424468,0.004853746,0.497498251,0.10812872,0.004840506,9.79E-06,0.123051094,0.467732026
421,500,stimulus,BS_113_1_AC.pickle,24,,,,,,,,,,,,,,,
422,500,stimulus,BS_113_1_AC.pickle,29,,,,,,,,,,,,,,,
423,500,stimulus,BS_113_1_AC.pickle,33,0.456751634,0.096952322,0.004340182,0.446875978,0.093683813,0.004193863,0.492882353,0.108848273,0.004872718,0.49404337,0.107956567,0.0048328,1.55E-08,1.20E-13,0.456091503
424,500,stimulus,BS_113_1_AC.pickle,35,0.564751634,0.108454565,0.004855093,0.553023816,0.107260224,0.004801627,0.49675817,0.110520921,0.004947596,0.49597254,0.109918592,0.004920632,2.16E-21,7.03E-16,0.520431373
425,500,stimulus,BS_113_1_AC.pickle,37,0.456418301,0.088536831,0.003963453,0.444234846,0.084363167,0.003776614,0.490640523,0.110015237,0.004924958,0.490402804,0.110011328,0.004924783,1.03E-07,1.29E-12,0.450300654
426,500,stimulus,BS_113_1_AC.pickle,42,0.539869281,0.110495411,0.004946454,0.532316948,0.1104919,0.004946297,0.497418301,0.111509565,0.004991854,0.497551984,0.110663759,0.00495399,1.13E-09,7.73E-07,0.415352941
427,500,stimulus,BS_113_1_AC.pickle,43,,,,,,,,,,,,,,,
428,500,stimulus,BS_113_1_AC.pickle,44,0.536222222,0.091040904,0.004075551,0.516132636,0.090467103,0.004049864,0.497045752,0.106881371,0.004784667,0.497038987,0.105476935,0.004721796,9.31E-11,0.000567615,0.637555556
429,500,stimulus,BS_113_1_AC.pickle,55,,,,,,,,,,,,,,,
430,500,stimulus,BS_113_1_AC.pickle,57,0.425980392,0.103449595,0.00463104,0.435378951,0.10583537,0.004737842,0.500960784,0.115776319,0.00518286,0.500524879,0.114827598,0.005140389,5.67E-23,4.96E-17,0.216267974
431,500,stimulus,BS_113_1_AC.pickle,59,,,,,,,,,,,,,,,
432,500,stimulus,BS_113_1_AC.pickle,60,0.517666667,0.250320017,0.011205863,0.516700585,0.255711352,0.011447212,0.499,0.228032892,0.010208154,0.500436257,0.22809188,0.010210795,0.160833961,0.218331911,0.206166667
433,500,stimulus,BS_113_1_AC.pickle,63,,,,,,,,,,,,,,,
434,500,stimulus,BS_113_1_AC.pickle,72,,,,,,,,,,,,,,,
435,500,stimulus,BS_113_1_AC.pickle,74,0.569705882,0.112501162,0.005036244,0.576227889,0.112343639,0.005029192,0.507915033,0.105955752,0.004743231,0.507093435,0.105764609,0.004734674,8.51E-17,2.07E-20,0.420934641
436,500,stimulus,BS_113_1_AC.pickle,75,,,,,,,,,,,,,,,
437,500,stimulus,BS_113_1_AC.pickle,109,,,,,,,,,,,,,,,
438,500,stimulus,BS_113_1_AC.pickle,121,0.562588235,0.110741258,0.00495746,0.556136801,0.111348094,0.004984625,0.502986928,0.110434242,0.004943716,0.502504557,0.110306391,0.004937992,1.25E-15,7.18E-12,0.017562092
439,500,stimulus,BS_113_1_AC.pickle,126,,,,,,,,,,,,,,,
440,500,stimulus,BS_113_1_AC.pickle,159,0.44854902,0.109681035,0.004909997,0.445840542,0.110435637,0.004943778,0.503745098,0.119156649,0.005334184,0.50307336,0.119755805,0.005361006,6.27E-14,1.36E-14,0.081888889
441,500,stimulus,BS_113_1_AC.pickle,181,,,,,,,,,,,,,,,
442,500,stimulus,BS_113_1_AC.pickle,183,,,,,,,,,,,,,,,
443,500,stimulus,BS_113_1_AC.pickle,187,,,,,,,,,,,,,,,
