,animal,session,correct rate,incorrect rate,is reversal day
0,BS_59,1,51.515151515151516,48.484848484848484,False
1,BS_59,2,55.73122529644269,44.26877470355731,False
2,BS_59,3,68.0,32.0,False
3,BS_59,4,75.47169811320755,24.52830188679245,False
4,BS_59,5,79.16666666666666,20.833333333333343,False
5,BS_59,6,74.46808510638297,25.531914893617028,False
6,BS_59,7,41.0,59.0,True
7,BS_59,8,47.81021897810219,52.18978102189781,False
8,BS_59,9,51.857142857142854,48.142857142857146,False
9,BS_59,10,52.0,48.0,False
10,BS_59,11,67.5,32.5,False
11,BS_59,12,76.82926829268293,23.170731707317074,False
12,BS_59,13,69.64285714285714,30.35714285714286,False
13,BS_59,14,74.07407407407408,25.925925925925924,False
14,BS_59,15,82.07070707070707,17.929292929292927,False
