,animal,session,d',learning phase
0,BS_40,1,0.10143870664312599,pre early
1,BS_40,2,0.13747056969430654,pre early
2,BS_40,3,0.16114767816997105,pre early
3,BS_40,4,0.37810050938117873,pre early
4,BS_40,5,0.13066799499474524,pre early
5,BS_40,6,0.6759519549347086,pre late
6,BS_40,7,0.3181522230138307,pre late
7,BS_40,8,0.13378164194699554,pre late
8,BS_40,9,0.10543513925384881,pre late
9,BS_40,10,0.5500612029451912,pre late
10,BS_40,11,0.6472939061678507,pre late
11,BS_40,12,0.5105156308756529,pre late
12,BS_40,13,0.975839714350211,pre late
13,BS_40,14,0.6499979175909307,pre late
14,BS_40,15,0.9574391926440188,pre late
15,BS_40,16,1.75068607125217,pre expert
16,BS_40,18,-0.6596392622046594,switch
17,BS_40,19,-1.1376904574182318,post early
18,BS_40,20,-0.4531130655381991,post early
19,BS_40,21,-0.10891477946268568,post early
20,BS_40,22,-0.37065787630313896,post early
21,BS_40,23,-0.02383427773605834,post early
22,BS_40,24,-0.32390462556567956,post early
23,BS_40,25,0.03346673798798133,post early
24,BS_40,26,-0.00040416327354587944,post early
25,BS_40,27,0.8125775051876666,post late
26,BS_40,28,0.2119046418280095,post late
27,BS_40,29,0.14505110375323554,post late
28,BS_40,30,1.5100097610843206,post expert
29,BS_40,31,1.6066230711417375,post expert
30,BS_40,32,1.7931402187188945,post expert
31,BS_41,1,0.3390916443896751,pre early
32,BS_41,2,0.2535617622697345,pre early
33,BS_41,3,1.9661679310537816,pre expert
34,BS_41,4,2.53234922940356,pre expert
35,BS_41,5,1.5938783374369343,pre expert
36,BS_41,6,-1.0669247332297598,switch
37,BS_41,7,-0.7218612414971093,post early
38,BS_41,8,-0.09399848589923421,post late
39,BS_41,9,-0.13552296291986343,post late
40,BS_41,10,-0.04073372371602757,post late
41,BS_41,11,-0.002588157878820496,post late
42,BS_41,12,0.09839285999454173,post late
43,BS_41,13,-0.16488380178415352,post late
44,BS_41,14,0.5222373386999963,post late
45,BS_41,15,0.9943436475034109,post late
46,BS_41,16,1.9229444503282003,post expert
47,BS_42,1,-0.010428462020478202,pre early
48,BS_42,2,0.2733067248473744,pre early
49,BS_42,3,0.8226755546991519,pre late
50,BS_42,4,1.143057083081818,pre late
51,BS_42,5,1.4083299957411488,pre expert
52,BS_42,6,1.8554758943466252,pre expert
53,BS_42,7,-0.011410253330860876,switch
54,BS_42,8,-0.08588090734768516,post early
55,BS_42,9,0.4884632115809511,post early
56,BS_42,10,0.4639553672654676,post early
57,BS_42,11,0.645166129395475,post early
58,BS_42,12,0.7235448846242516,post late
59,BS_42,13,0.5172944201783067,post late
60,BS_42,14,0.9068786699591551,post late
61,BS_42,15,1.847988552553565,post expert
62,BS_42,16,1.7793766236953463,post expert
63,BS_42,17,1.5324404387928947,post expert
64,BS_42,18,1.3705404686371159,post expert
65,BS_42,19,1.3154589112775408,post expert
66,BS_42,20,2.231605835260925,post expert
67,BS_42,21,2.259977300998866,post expert
68,BS_42,22,2.248671930020573,post expert
69,BS_49,1,-0.11003673643195,pre early
70,BS_49,2,0.4108796768537688,pre early
71,BS_49,3,0.24592819279988953,pre early
72,BS_49,4,0.20910163672141568,pre early
73,BS_49,5,-0.04103203260854227,pre early
74,BS_49,6,-0.20045666054678501,pre early
75,BS_49,7,0.8857917125668868,pre late
76,BS_49,8,0.09791021724923987,pre late
77,BS_49,9,0.35506672104131426,pre late
78,BS_49,10,0.5149568871658523,pre late
79,BS_49,11,0.28147674763965447,pre late
80,BS_49,12,1.5188583959177937,pre expert
81,BS_49,13,2.03980725827362,pre expert
82,BS_49,14,-1.4926752114527453,switch
83,BS_49,15,-0.5104158331399509,post late
84,BS_49,16,-0.06887862412592338,post late
85,BS_49,17,0.7332006140757295,post late
86,BS_49,18,1.5721088955828284,post expert
87,BS_50,1,-0.07923551679668822,pre early
88,BS_50,2,0.19363000335047684,pre early
89,BS_50,3,0.10976742002885315,pre early
90,BS_50,4,0.1261876825480146,pre early
91,BS_50,5,0.5106634774556098,pre late
92,BS_50,6,0.21341920795690444,pre late
93,BS_50,7,0.5177257483769409,pre late
94,BS_50,8,0.45916082610517983,pre late
95,BS_50,9,0.3851433063895091,pre late
96,BS_50,10,1.465690674531169,pre expert
97,BS_50,11,1.4647446343707897,pre expert
98,BS_50,12,-0.5984267917632381,switch
99,BS_51,1,0.44108849258042876,pre early
100,BS_51,2,-0.06961765835983402,pre early
101,BS_51,3,0.2472043365228067,pre early
102,BS_51,4,0.22381910953320583,pre early
103,BS_51,5,0.2116256484487965,pre early
104,BS_51,6,2.1389580325915873,pre expert
105,BS_51,7,1.6363412302364377,pre expert
106,BS_51,8,-0.36346292475153164,switch
107,BS_51,9,-0.30321284394476494,post early
108,BS_51,10,-0.03215041388734363,post early
109,BS_51,11,-0.053862806229514115,post early
110,BS_51,12,-0.07833679646780128,post early
111,BS_51,13,0.07821159807686551,post early
112,BS_51,14,-0.21830622581291714,post early
113,BS_51,15,0.10280486170908687,post early
114,BS_51,16,0.39996163462939116,post late
115,BS_51,17,0.4761606206594884,post late
116,BS_51,18,2.1331431214346175,post expert
117,BS_51,19,1.7321992757232594,post expert
118,BS_51,20,1.3080859343749551,post expert
119,BS_51,21,1.8081935048078654,post expert
120,BS_56,1,0.013072633913875642,pre early
121,BS_56,2,-0.03547696013501074,pre early
122,BS_56,3,0.12648658038644361,pre early
123,BS_56,4,1.0361640860545795,pre late
124,BS_56,5,1.3948340983315297,pre late
125,BS_56,6,2.397784810134282,pre expert
126,BS_56,7,2.1232101827174468,pre expert
127,BS_56,8,-0.4563163863175225,switch
128,BS_56,9,-0.11041236100934565,post early
129,BS_56,10,-0.19386323214267331,post early
130,BS_56,11,-0.12960753775166212,post early
131,BS_56,12,0.06764879098142385,post early
132,BS_56,13,0.29338905966732653,post early
133,BS_56,14,1.575104556644539,post expert
134,BS_56,15,1.2385778408136465,post expert
135,BS_56,16,1.524055187168912,post expert
136,BS_56,17,1.8768878840587229,post expert
137,BS_56,18,1.853308740524403,post expert
138,BS_56,19,1.7362715249249079,post expert
139,BS_56,20,1.6588609798575582,post expert
140,BS_56,21,2.0435735735496667,post expert
141,BS_59,1,0.00829425059213118,pre early
142,BS_59,2,0.28796781478175587,pre early
143,BS_59,3,1.2933517760248756,pre late
144,BS_59,4,1.7453422037178796,pre expert
145,BS_59,5,1.6452461624782282,pre expert
146,BS_59,6,2.294118135557619,pre expert
147,BS_59,7,-0.8976492831018976,switch
148,BS_59,8,-0.20880528508234764,post early
149,BS_59,9,0.03228668321033923,post early
150,BS_59,10,0.36903883331779497,post late
151,BS_59,11,1.1775741142033762,post late
152,BS_59,12,1.528516813128906,post expert
153,BS_59,13,2.051026314620989,post expert
154,BS_59,14,1.501085946044025,post expert
155,BS_59,15,2.9148852681514192,post expert
156,BS_59,16,2.6836744715654515,post expert
157,BS_59,17,2.2977272186317887,post expert
158,BS_59,18,1.8922878731011656,post expert
