,animal,session,cluster ID,FR modulation,depth
0,BS_108,BS_108_1_AC.pickle,2,9.972451790633608,0.765
1,BS_108,BS_108_1_AC.pickle,8,21.7741935483871,0.365
2,BS_108,BS_108_1_AC.pickle,9,15.806451612903228,0.34
3,BS_108,BS_108_1_AC.pickle,14,10.964187327823693,0.49
4,BS_108,BS_108_1_AC.pickle,34,16.989247311827963,0.44
5,BS_108,BS_108_1_AC.pickle,35,13.064516129032258,0.465
6,BS_108,BS_108_2_AC.pickle,2,15.402298850574715,0.37
7,BS_108,BS_108_2_AC.pickle,7,6.321839080459773,0.345
8,BS_108,BS_108_2_AC.pickle,26,3.563218390804598,0.37
9,BS_108,BS_108_4_AC.pickle,26,2.8528528528528545,0.424
10,BS_108,BS_108_4_AC.pickle,93,1.9721329046087879,0.374
11,BS_108,BS_108_6_AC.pickle,2,3.446969696969696,0.6605
12,BS_108,BS_108_6_AC.pickle,3,5.959595959595956,0.798
13,BS_108,BS_108_6_AC.pickle,9,3.833333333333334,0.773
14,BS_108,BS_108_6_AC.pickle,33,3.2600732600732596,0.198
15,BS_108,BS_108_6_AC.pickle,35,4.944944944944941,0.198
16,BS_108,BS_108_6_AC.pickle,38,4.245210727969349,0.223
17,BS_108,BS_108_6_AC.pickle,39,1.6757741347905284,0.223
18,BS_108,BS_108_6_AC.pickle,47,15.825734549138806,0.273
19,BS_108,BS_108_6_AC.pickle,48,9.593869731800776,0.223
20,BS_108,BS_108_6_AC.pickle,49,7.203065134099624,0.248
21,BS_108,BS_108_6_AC.pickle,50,2.1149425287356345,0.373
22,BS_108,BS_108_6_AC.pickle,72,2.7279693486590064,0.623
23,BS_108,BS_108_6_AC.pickle,73,5.633528265107213,0.623
24,BS_108,BS_108_6_AC.pickle,76,1.5172413793103448,0.698
25,BS_108,BS_108_6_AC.pickle,78,1.313432835820895,0.7105
26,BS_108,BS_108_6_AC.pickle,79,0.9201388888888884,0.598
27,BS_108,BS_108_6_AC.pickle,82,1.5019157088122612,0.723
28,BS_108,BS_108_6_AC.pickle,88,1.670498084291188,0.748
29,BS_108,BS_108_6_AC.pickle,90,1.6941694169416954,0.573
30,BS_108,BS_108_6_AC.pickle,125,2.038429406850462,0.2355
31,BS_108,BS_108_6_AC.pickle,126,16.727272727272727,0.3105
32,BS_108,BS_108_6_AC.pickle,133,6.099616858237546,0.823
33,BS_40,BS_40_10_AC.pickle,0,0.8272506082725062,0.6525
34,BS_40,BS_40_10_AC.pickle,2,2.6143790849673216,0.69
35,BS_40,BS_40_10_AC.pickle,3,0.5930470347648259,0.69
36,BS_40,BS_40_10_AC.pickle,5,5.855555555555559,0.5775
37,BS_40,BS_40_10_AC.pickle,9,2.8999999999999972,0.74
38,BS_40,BS_40_10_AC.pickle,12,1.2222222222222237,0.665
39,BS_40,BS_40_10_AC.pickle,20,0.9523809523809517,0.215
40,BS_40,BS_40_10_AC.pickle,22,0.669014084507043,0.19
41,BS_40,BS_40_10_AC.pickle,23,5.944444444444457,0.19
42,BS_40,BS_40_10_AC.pickle,24,2.033333333333333,-0.035
43,BS_40,BS_40_10_AC.pickle,25,1.633333333333333,-0.01
44,BS_40,BS_40_10_AC.pickle,44,1.0686095931997566,0.5025
45,BS_40,BS_40_10_AC.pickle,50,1.5222222222222213,0.09
46,BS_40,BS_40_10_AC.pickle,53,0.31287605294825516,0.69
47,BS_40,BS_40_10_AC.pickle,55,0.822222222222223,0.565
48,BS_40,BS_40_10_AC.pickle,58,1.0555555555555562,0.5275
49,BS_40,BS_40_10_AC.pickle,73,2.171602126044036,0.7025
50,BS_40,BS_40_12_AC.pickle,2,3.647798742138366,1.07
51,BS_40,BS_40_12_AC.pickle,5,1.509433962264151,1.17
52,BS_40,BS_40_12_AC.pickle,6,0.0,1.17
53,BS_40,BS_40_12_AC.pickle,27,2.1383647798742134,1.22
54,BS_40,BS_40_12_AC.pickle,29,2.767295597484277,1.145
55,BS_40,BS_40_12_AC.pickle,50,3.773584905660378,0.495
56,BS_40,BS_40_12_AC.pickle,52,7.169811320754717,0.77
57,BS_40,BS_40_12_AC.pickle,56,4.528301886792454,0.645
58,BS_40,BS_40_12_AC.pickle,57,3.396226415094339,1.095
59,BS_40,BS_40_12_AC.pickle,80,7.044025157232703,0.545
60,BS_40,BS_40_12_AC.pickle,85,2.6666666666666665,1.195
61,BS_40,BS_40_12_AC.pickle,100,4.150943396226414,0.72
62,BS_40,BS_40_12_AC.pickle,103,0.7547169811320753,1.095
63,BS_40,BS_40_12_AC.pickle,118,2.1383647798742147,1.12
64,BS_40,BS_40_15_AC.pickle,0,1.2209302325581386,1.07
65,BS_40,BS_40_15_AC.pickle,1,0.9684684684684681,1.17
66,BS_40,BS_40_15_AC.pickle,3,3.410852713178299,1.0575
67,BS_40,BS_40_15_AC.pickle,7,2.002442002442002,1.2075
68,BS_40,BS_40_15_AC.pickle,10,1.6472868217054268,1.22
69,BS_40,BS_40_15_AC.pickle,40,8.148148148148147,0.745
70,BS_40,BS_40_15_AC.pickle,47,17.131782945736436,0.8825
71,BS_40,BS_40_15_AC.pickle,60,0.9688581314878892,1.22
72,BS_40,BS_40_15_AC.pickle,62,5.910364145658262,0.87
73,BS_40,BS_40_15_AC.pickle,64,2.2286821705426374,1.1825
74,BS_40,BS_40_15_AC.pickle,66,1.2640163098878694,1.22
75,BS_40,BS_40_15_AC.pickle,68,27.03488372093023,0.695
76,BS_40,BS_40_16_AC.pickle,0,2.973621103117507,0.7775
77,BS_40,BS_40_16_AC.pickle,4,1.3981244671781772,0.8025
78,BS_40,BS_40_16_AC.pickle,5,0.46035805626598475,0.8025
79,BS_40,BS_40_16_AC.pickle,10,1.9266837169650464,0.815
80,BS_40,BS_40_16_AC.pickle,14,3.5913978494623677,0.765
81,BS_40,BS_40_16_AC.pickle,15,1.359649122807018,0.7525
82,BS_40,BS_40_16_AC.pickle,16,0.559006211180125,0.7525
83,BS_40,BS_40_16_AC.pickle,21,27.48508098891727,0.365
84,BS_40,BS_40_16_AC.pickle,24,27.096774193548367,0.6025
85,BS_40,BS_40_16_AC.pickle,26,34.12087912087914,0.465
86,BS_40,BS_40_16_AC.pickle,35,21.605691056910562,0.415
87,BS_40,BS_40_18_AC.pickle,2,0.8088235294117665,0.9375
88,BS_40,BS_40_18_AC.pickle,4,0.7843137254901957,0.95
89,BS_40,BS_40_18_AC.pickle,19,2.7799227799227797,0.45
90,BS_40,BS_40_18_AC.pickle,36,1.4338235294117652,0.8375
91,BS_40,BS_40_18_AC.pickle,41,0.6372549019607854,0.9125
92,BS_40,BS_40_18_AC.pickle,49,1.4666666666666668,0.8375
93,BS_40,BS_40_19_AC.pickle,1,0.8281573498964818,1.0675
94,BS_40,BS_40_19_AC.pickle,3,1.7681159420289831,0.955
95,BS_40,BS_40_19_AC.pickle,6,2.056590752242929,0.9425
96,BS_40,BS_40_19_AC.pickle,8,1.463077984817115,0.9175
97,BS_40,BS_40_19_AC.pickle,19,1.8771566597653586,0.805
98,BS_40,BS_40_19_AC.pickle,22,6.749482401656327,0.88
99,BS_40,BS_40_19_AC.pickle,31,2.1808143547273975,0.9675
100,BS_40,BS_40_19_AC.pickle,33,1.78117048346056,0.9675
101,BS_40,BS_40_19_AC.pickle,34,0.6042296072507553,0.9675
102,BS_40,BS_40_19_AC.pickle,35,4.483260553129552,0.9175
103,BS_40,BS_40_19_AC.pickle,46,1.5596963423050387,1.0675
104,BS_40,BS_40_19_AC.pickle,47,0.5935127674258112,0.93
105,BS_40,BS_40_19_AC.pickle,48,3.050379572118701,0.9675
106,BS_40,BS_40_21_AC.pickle,4,1.4492753623188404,0.786
107,BS_40,BS_40_21_AC.pickle,32,1.3768115942028982,0.5235
108,BS_40,BS_40_21_AC.pickle,33,1.6666666666666667,0.536
109,BS_40,BS_40_21_AC.pickle,37,4.166666666666667,0.3985
110,BS_40,BS_40_21_AC.pickle,42,2.1014492753623184,0.186
111,BS_40,BS_40_21_AC.pickle,49,5.000000000000001,0.736
112,BS_40,BS_40_21_AC.pickle,53,8.717948717948717,0.336
113,BS_40,BS_40_21_AC.pickle,54,5.999999999999999,0.336
114,BS_40,BS_40_21_AC.pickle,55,1.4492753623188404,0.561
115,BS_40,BS_40_22_AC.pickle,1,0.5656565656565657,1.17
116,BS_40,BS_40_22_AC.pickle,7,5.494949494949493,1.195
117,BS_40,BS_40_22_AC.pickle,11,9.047619047619046,1.22
118,BS_40,BS_40_22_AC.pickle,13,0.9696969696969694,1.22
119,BS_40,BS_40_2_AC.pickle,4,3.8095238095238115,0.745
120,BS_40,BS_40_2_AC.pickle,15,3.010204081632654,0.295
121,BS_40,BS_40_2_AC.pickle,18,3.911564625850337,0.3325
122,BS_40,BS_40_2_AC.pickle,30,1.071428571428571,0.145
123,BS_40,BS_40_2_AC.pickle,33,4.0102171136653935,0.17
124,BS_40,BS_40_2_AC.pickle,43,2.389486260454004,0.195
125,BS_40,BS_40_2_AC.pickle,45,1.9853709508881925,0.195
126,BS_40,BS_40_2_AC.pickle,46,5.425170068027217,0.42
127,BS_40,BS_40_2_AC.pickle,51,1.9387755102040793,0.42
128,BS_40,BS_40_2_AC.pickle,56,4.63980463980464,0.62
129,BS_40,BS_40_2_AC.pickle,58,1.9557823129251726,0.62
130,BS_40,BS_40_2_AC.pickle,61,14.625850340136058,0.6575
131,BS_40,BS_40_2_AC.pickle,65,3.962585034013606,0.595
132,BS_40,BS_40_2_AC.pickle,66,8.231292517006809,0.595
133,BS_40,BS_40_2_AC.pickle,67,6.484848484848485,0.595
134,BS_40,BS_40_2_AC.pickle,70,2.857142857142856,0.57
135,BS_40,BS_40_2_AC.pickle,72,5.357142857142855,0.6825
136,BS_40,BS_40_2_AC.pickle,83,6.445578231292519,0.7325
137,BS_40,BS_40_2_AC.pickle,96,27.6360544217687,0.4825
138,BS_40,BS_40_2_AC.pickle,97,3.89455782312926,0.4825
139,BS_40,BS_40_2_AC.pickle,98,13.163265306122444,0.4575
140,BS_40,BS_40_2_AC.pickle,103,18.82653061224488,0.1575
141,BS_40,BS_40_2_AC.pickle,115,10.26365348399247,0.4075
142,BS_40,BS_40_2_AC.pickle,120,0.9369369369369368,0.3575
143,BS_40,BS_40_2_AC.pickle,122,2.857142857142857,0.2075
144,BS_40,BS_40_2_AC.pickle,124,1.7176870748299315,0.3325
145,BS_40,BS_40_2_AC.pickle,133,2.9421768707482996,0.395
146,BS_40,BS_40_2_AC.pickle,138,0.8516886930983848,0.145
147,BS_40,BS_40_2_AC.pickle,142,1.7886178861788615,0.195
148,BS_40,BS_40_2_AC.pickle,153,7.579365079365079,0.545
149,BS_40,BS_40_2_AC.pickle,154,6.51360544217687,0.545
150,BS_40,BS_40_2_AC.pickle,156,0.671462829736211,0.1325
151,BS_40,BS_40_2_AC.pickle,162,2.959183673469385,0.2075
152,BS_40,BS_40_2_AC.pickle,163,1.2074829931972804,0.195
153,BS_40,BS_40_2_AC.pickle,164,4.221105527638188,0.3825
154,BS_40,BS_40_2_AC.pickle,165,1.9727891156462543,0.395
155,BS_40,BS_40_2_AC.pickle,166,1.7176870748299329,0.395
156,BS_40,BS_40_2_AC.pickle,178,0.9589041095890413,0.195
157,BS_40,BS_40_2_AC.pickle,184,0.7387387387387389,0.295
158,BS_40,BS_40_2_AC.pickle,188,2.0238095238095264,0.2075
159,BS_40,BS_40_2_AC.pickle,189,9.727891156462585,0.27
160,BS_40,BS_40_2_AC.pickle,190,3.267605633802817,0.295
161,BS_40,BS_40_2_AC.pickle,194,11.326530612244886,0.345
162,BS_40,BS_40_2_AC.pickle,195,10.850340136054427,0.42
163,BS_40,BS_40_2_AC.pickle,201,3.0442176870748288,0.345
164,BS_40,BS_40_2_AC.pickle,204,2.568027210884353,0.195
165,BS_40,BS_40_2_AC.pickle,206,8.588435374149663,0.445
166,BS_40,BS_40_2_AC.pickle,210,12.862453531598513,0.595
167,BS_40,BS_40_2_AC.pickle,211,2.482566248256626,0.6575
168,BS_40,BS_40_2_AC.pickle,212,8.418367346938783,0.72
169,BS_40,BS_40_2_AC.pickle,213,1.1224489795918366,0.1325
170,BS_40,BS_40_2_AC.pickle,222,1.5257048092868986,0.17
171,BS_40,BS_40_2_AC.pickle,225,28.21428571428572,0.545
172,BS_40,BS_40_2_AC.pickle,230,7.908163265306132,0.2075
173,BS_40,BS_40_2_AC.pickle,231,2.857142857142857,0.545
174,BS_40,BS_40_3_AC.pickle,0,7.245053272450523,0.7065
175,BS_40,BS_40_3_AC.pickle,10,3.1354642313546384,0.619
176,BS_40,BS_40_3_AC.pickle,14,11.430745814307462,0.6565
177,BS_40,BS_40_3_AC.pickle,15,14.961948249619475,0.6315
178,BS_40,BS_40_3_AC.pickle,23,18.396624472573816,0.794
179,BS_40,BS_40_3_AC.pickle,24,2.906574394463669,0.794
180,BS_40,BS_40_3_AC.pickle,30,1.4548802946593007,0.7065
181,BS_40,BS_40_3_AC.pickle,33,2.5665101721439747,0.694
182,BS_40,BS_40_3_AC.pickle,36,1.6151202749140892,0.7315
183,BS_40,BS_40_3_AC.pickle,37,1.2024353120243538,0.7315
184,BS_40,BS_40_3_AC.pickle,53,1.902587519025875,0.319
185,BS_40,BS_40_3_AC.pickle,54,1.3231552162849871,0.319
186,BS_40,BS_40_3_AC.pickle,57,13.850837138508362,0.319
187,BS_40,BS_40_3_AC.pickle,61,0.6666666666666667,0.219
