,animal,session,cluster ID,category,depth
0,BS_108,BS_108_1_AC.pickle,2,CR,765.0
1,BS_108,BS_108_1_AC.pickle,8,CR,365.0
2,BS_108,BS_108_1_AC.pickle,9,CR,340.0
3,BS_108,BS_108_1_AC.pickle,14,CR,490.0
4,BS_108,BS_108_1_AC.pickle,34,CR,440.0
5,BS_108,BS_108_1_AC.pickle,35,CR,465.0
6,BS_108,BS_108_2_AC.pickle,2,CR,370.0
7,BS_108,BS_108_2_AC.pickle,7,CR,345.0
8,BS_108,BS_108_2_AC.pickle,26,CR,370.0
9,BS_108,BS_108_4_AC.pickle,26,NCR,424.0
10,BS_108,BS_108_4_AC.pickle,93,NCR,374.0
11,BS_108,BS_108_6_AC.pickle,2,NCR,660.5
12,BS_108,BS_108_6_AC.pickle,3,CR,798.0
13,BS_108,BS_108_6_AC.pickle,9,CR,773.0
14,BS_108,BS_108_6_AC.pickle,33,NCR,198.0
15,BS_108,BS_108_6_AC.pickle,35,CR,198.0
16,BS_108,BS_108_6_AC.pickle,38,CR,223.0
17,BS_108,BS_108_6_AC.pickle,39,NCR,223.0
18,BS_108,BS_108_6_AC.pickle,47,CR,273.0
19,BS_108,BS_108_6_AC.pickle,48,CR,223.0
20,BS_108,BS_108_6_AC.pickle,49,CR,248.0
21,BS_108,BS_108_6_AC.pickle,50,NCR,373.0
22,BS_108,BS_108_6_AC.pickle,72,NCR,623.0
23,BS_108,BS_108_6_AC.pickle,73,CR,623.0
24,BS_108,BS_108_6_AC.pickle,76,NCR,698.0
25,BS_108,BS_108_6_AC.pickle,78,NCR,710.5
26,BS_108,BS_108_6_AC.pickle,79,NCR,598.0
27,BS_108,BS_108_6_AC.pickle,82,NCR,723.0
28,BS_108,BS_108_6_AC.pickle,88,NCR,748.0
29,BS_108,BS_108_6_AC.pickle,90,NCR,573.0
30,BS_108,BS_108_6_AC.pickle,125,NCR,235.5
31,BS_108,BS_108_6_AC.pickle,126,CR,310.5
32,BS_108,BS_108_6_AC.pickle,133,CR,823.0
33,BS_40,BS_40_10_AC.pickle,0,NCR,652.5
34,BS_40,BS_40_10_AC.pickle,2,NCR,690.0
35,BS_40,BS_40_10_AC.pickle,3,NCR,690.0
36,BS_40,BS_40_10_AC.pickle,5,CR,577.5
37,BS_40,BS_40_10_AC.pickle,9,NCR,740.0
38,BS_40,BS_40_10_AC.pickle,12,NCR,665.0
39,BS_40,BS_40_10_AC.pickle,20,NCR,215.0
40,BS_40,BS_40_10_AC.pickle,22,NCR,190.0
41,BS_40,BS_40_10_AC.pickle,23,CR,190.0
42,BS_40,BS_40_10_AC.pickle,24,NCR,-35.0
43,BS_40,BS_40_10_AC.pickle,25,NCR,-10.0
44,BS_40,BS_40_10_AC.pickle,44,NCR,502.5
45,BS_40,BS_40_10_AC.pickle,50,NCR,90.0
46,BS_40,BS_40_10_AC.pickle,53,NCR,690.0
47,BS_40,BS_40_10_AC.pickle,55,NCR,565.0
48,BS_40,BS_40_10_AC.pickle,58,NCR,527.5
49,BS_40,BS_40_10_AC.pickle,73,NCR,702.5
50,BS_40,BS_40_12_AC.pickle,2,CR,1070.0
51,BS_40,BS_40_12_AC.pickle,5,NCR,1170.0
52,BS_40,BS_40_12_AC.pickle,6,NCR,1170.0
53,BS_40,BS_40_12_AC.pickle,27,NCR,1220.0
54,BS_40,BS_40_12_AC.pickle,29,NCR,1145.0
55,BS_40,BS_40_12_AC.pickle,50,CR,495.0
56,BS_40,BS_40_12_AC.pickle,52,CR,770.0
57,BS_40,BS_40_12_AC.pickle,56,CR,645.0
58,BS_40,BS_40_12_AC.pickle,57,NCR,1095.0
59,BS_40,BS_40_12_AC.pickle,80,CR,545.0
60,BS_40,BS_40_12_AC.pickle,85,NCR,1195.0
61,BS_40,BS_40_12_AC.pickle,100,CR,720.0
62,BS_40,BS_40_12_AC.pickle,103,NCR,1095.0
63,BS_40,BS_40_12_AC.pickle,118,NCR,1120.0
64,BS_40,BS_40_15_AC.pickle,0,NCR,1070.0
65,BS_40,BS_40_15_AC.pickle,1,NCR,1170.0
66,BS_40,BS_40_15_AC.pickle,3,NCR,1057.5
67,BS_40,BS_40_15_AC.pickle,7,NCR,1207.5
68,BS_40,BS_40_15_AC.pickle,10,NCR,1220.0
69,BS_40,BS_40_15_AC.pickle,40,CR,745.0
70,BS_40,BS_40_15_AC.pickle,47,CR,882.5
71,BS_40,BS_40_15_AC.pickle,60,NCR,1220.0
