,animal,session,cluster ID,Choice modulation,depth
0,BS_108,BS_108_1_AC.pickle,2,3.03030303030303,0.765
1,BS_108,BS_108_1_AC.pickle,8,8.595275029356051e-16,0.365
2,BS_108,BS_108_1_AC.pickle,9,8.14516129032258,0.34
3,BS_108,BS_108_1_AC.pickle,14,4.765840220385676,0.49
4,BS_108,BS_108_1_AC.pickle,34,10.053763440860212,0.44
5,BS_108,BS_108_1_AC.pickle,35,2.3387096774193545,0.465
6,BS_108,BS_108_2_AC.pickle,2,6.522988505747126,0.37
7,BS_108,BS_108_2_AC.pickle,7,4.511494252873563,0.345
8,BS_108,BS_108_2_AC.pickle,26,1.4080459770114941,0.37
9,BS_108,BS_108_4_AC.pickle,26,1.0660660660660661,0.424
10,BS_108,BS_108_4_AC.pickle,93,1.6505894962486602,0.374
11,BS_108,BS_108_6_AC.pickle,2,1.6003787878787883,0.6605
12,BS_108,BS_108_6_AC.pickle,3,3.535353535353535,0.798
13,BS_108,BS_108_6_AC.pickle,9,1.6111111111111107,0.773
14,BS_108,BS_108_6_AC.pickle,33,1.996336996336996,0.198
15,BS_108,BS_108_6_AC.pickle,35,2.6326326326326326,0.198
16,BS_108,BS_108_6_AC.pickle,38,2.1302681992337162,0.223
17,BS_108,BS_108_6_AC.pickle,39,0.4735883424408016,0.223
18,BS_108,BS_108_6_AC.pickle,47,4.579533941236068,0.273
19,BS_108,BS_108_6_AC.pickle,48,6.2605363984674325,0.223
20,BS_108,BS_108_6_AC.pickle,49,4.950191570881226,0.248
21,BS_108,BS_108_6_AC.pickle,50,1.172413793103448,0.373
22,BS_108,BS_108_6_AC.pickle,72,1.3716475095785436,0.623
23,BS_108,BS_108_6_AC.pickle,73,1.627680311890838,0.623
24,BS_108,BS_108_6_AC.pickle,76,0.5747126436781606,0.698
25,BS_108,BS_108_6_AC.pickle,78,0.7761194029850746,0.7105
26,BS_108,BS_108_6_AC.pickle,79,0.6597222222222221,0.598
27,BS_108,BS_108_6_AC.pickle,82,0.8812260536398465,0.723
28,BS_108,BS_108_6_AC.pickle,88,0.22222222222222202,0.748
29,BS_108,BS_108_6_AC.pickle,90,0.12101210121012096,0.573
30,BS_108,BS_108_6_AC.pickle,125,0.6349206349206348,0.2355
31,BS_108,BS_108_6_AC.pickle,126,12.409090909090908,0.3105
32,BS_108,BS_108_6_AC.pickle,133,3.088122605363984,0.823
33,BS_40,BS_40_10_AC.pickle,0,0.5596107055961071,0.6525
34,BS_40,BS_40_10_AC.pickle,2,2.369281045751634,0.69
35,BS_40,BS_40_10_AC.pickle,3,0.7464212678936607,0.69
36,BS_40,BS_40_10_AC.pickle,5,6.88888888888889,0.5775
37,BS_40,BS_40_10_AC.pickle,9,3.0333333333333323,0.74
38,BS_40,BS_40_10_AC.pickle,12,1.826388888888889,0.665
39,BS_40,BS_40_10_AC.pickle,20,0.2857142857142856,0.215
40,BS_40,BS_40_10_AC.pickle,22,0.2112676056338027,0.19
41,BS_40,BS_40_10_AC.pickle,23,1.0388888888888892,0.19
42,BS_40,BS_40_10_AC.pickle,24,0.8666666666666668,-0.035
43,BS_40,BS_40_10_AC.pickle,25,0.9333333333333336,-0.01
44,BS_40,BS_40_10_AC.pickle,44,1.3236187006678812,0.5025
45,BS_40,BS_40_10_AC.pickle,50,1.0555555555555556,0.09
46,BS_40,BS_40_10_AC.pickle,53,0.24067388688327324,0.69
47,BS_40,BS_40_10_AC.pickle,55,1.4111111111111108,0.565
48,BS_40,BS_40_10_AC.pickle,58,0.8722222222222225,0.5275
49,BS_40,BS_40_10_AC.pickle,73,0.06074411541381852,0.7025
50,BS_40,BS_40_12_AC.pickle,2,4.276729559748427,1.07
51,BS_40,BS_40_12_AC.pickle,5,0.1886792452830189,1.17
52,BS_40,BS_40_12_AC.pickle,6,0.37735849056603776,1.17
53,BS_40,BS_40_12_AC.pickle,27,0.6918238993710687,1.22
54,BS_40,BS_40_12_AC.pickle,29,1.0691823899371071,1.145
55,BS_40,BS_40_12_AC.pickle,50,1.69811320754717,0.495
56,BS_40,BS_40_12_AC.pickle,52,0.3773584905660372,0.77
57,BS_40,BS_40_12_AC.pickle,56,2.2641509433962264,0.645
58,BS_40,BS_40_12_AC.pickle,57,3.396226415094339,1.095
59,BS_40,BS_40_12_AC.pickle,80,0.25157232704402505,0.545
60,BS_40,BS_40_12_AC.pickle,85,1.3333333333333335,1.195
61,BS_40,BS_40_12_AC.pickle,100,2.0754716981132075,0.72
62,BS_40,BS_40_12_AC.pickle,103,0.18867924528301888,1.095
63,BS_40,BS_40_12_AC.pickle,118,2.389937106918239,1.12
64,BS_40,BS_40_15_AC.pickle,0,2.6453488372093013,1.07
65,BS_40,BS_40_15_AC.pickle,1,0.8333333333333335,1.17
66,BS_40,BS_40_15_AC.pickle,3,0.8914728682170535,1.0575
67,BS_40,BS_40_15_AC.pickle,7,1.1965811965811963,1.2075
68,BS_40,BS_40_15_AC.pickle,10,1.5600775193798455,1.22
69,BS_40,BS_40_15_AC.pickle,40,3.614303959131546,0.745
70,BS_40,BS_40_15_AC.pickle,47,1.5213178294573637,0.8825
71,BS_40,BS_40_15_AC.pickle,60,0.3460207612456748,1.22
72,BS_40,BS_40_15_AC.pickle,62,2.0028011204481797,0.87
73,BS_40,BS_40_15_AC.pickle,64,0.8236434108527105,1.1825
74,BS_40,BS_40_15_AC.pickle,66,1.0499490316004083,1.22
75,BS_40,BS_40_15_AC.pickle,68,1.1918604651162783,0.695
76,BS_40,BS_40_16_AC.pickle,0,3.4772182254196635,0.7775
77,BS_40,BS_40_16_AC.pickle,4,0.5029838022165389,0.8025
78,BS_40,BS_40_16_AC.pickle,5,1.048593350383632,0.8025
79,BS_40,BS_40_16_AC.pickle,10,0.4177323103154312,0.815
80,BS_40,BS_40_16_AC.pickle,14,4.720430107526881,0.765
81,BS_40,BS_40_16_AC.pickle,15,1.2609649122807018,0.7525
82,BS_40,BS_40_16_AC.pickle,16,0.8385093167701865,0.7525
83,BS_40,BS_40_16_AC.pickle,21,0.34100596760443347,0.365
84,BS_40,BS_40_16_AC.pickle,24,3.36405529953917,0.6025
85,BS_40,BS_40_16_AC.pickle,26,2.1978021978021975,0.465
86,BS_40,BS_40_16_AC.pickle,35,1.5447154471544715,0.415
87,BS_40,BS_40_18_AC.pickle,2,0.8088235294117649,0.9375
88,BS_40,BS_40_18_AC.pickle,4,0.5637254901960785,0.95
