,animal,session,cluster ID,FR modulation,category
0,BS_108,BS_108_1_AC.pickle,2,9.972451790633608,CR (enhanced)
1,BS_108,BS_108_1_AC.pickle,8,21.7741935483871,CR (enhanced)
2,BS_108,BS_108_1_AC.pickle,9,15.806451612903228,CR (enhanced)
3,BS_108,BS_108_1_AC.pickle,14,10.964187327823693,CR (enhanced)
4,BS_108,BS_108_1_AC.pickle,34,16.989247311827963,CR (enhanced)
5,BS_108,BS_108_1_AC.pickle,35,13.064516129032258,CR (enhanced)
6,BS_108,BS_108_2_AC.pickle,2,15.402298850574715,CR (enhanced)
7,BS_108,BS_108_2_AC.pickle,7,6.321839080459773,CR (enhanced)
8,BS_108,BS_108_2_AC.pickle,26,3.563218390804598,CR (enhanced)
9,BS_108,BS_108_4_AC.pickle,26,2.8528528528528545,Inconclusive
10,BS_108,BS_108_4_AC.pickle,93,1.9721329046087879,Inconclusive
11,BS_108,BS_108_6_AC.pickle,2,3.446969696969696,NCR
12,BS_108,BS_108_6_AC.pickle,3,5.959595959595956,CR (enhanced)
13,BS_108,BS_108_6_AC.pickle,9,3.833333333333334,Inconclusive
14,BS_108,BS_108_6_AC.pickle,33,3.2600732600732596,Inconclusive
15,BS_108,BS_108_6_AC.pickle,35,4.944944944944941,CR (enhanced)
16,BS_108,BS_108_6_AC.pickle,38,4.245210727969349,CR (enhanced)
17,BS_108,BS_108_6_AC.pickle,39,1.6757741347905284,NCR
18,BS_108,BS_108_6_AC.pickle,47,15.825734549138806,CR (enhanced)
19,BS_108,BS_108_6_AC.pickle,48,9.593869731800776,CR (enhanced)
20,BS_108,BS_108_6_AC.pickle,49,7.203065134099624,CR (enhanced)
21,BS_108,BS_108_6_AC.pickle,50,2.1149425287356345,Inconclusive
22,BS_108,BS_108_6_AC.pickle,72,2.7279693486590064,Inconclusive
23,BS_108,BS_108_6_AC.pickle,73,5.633528265107213,CR (enhanced)
24,BS_108,BS_108_6_AC.pickle,76,1.5172413793103448,NCR
25,BS_108,BS_108_6_AC.pickle,78,1.313432835820895,Inconclusive
26,BS_108,BS_108_6_AC.pickle,79,0.9201388888888884,Inconclusive
27,BS_108,BS_108_6_AC.pickle,82,1.5019157088122612,NCR
28,BS_108,BS_108_6_AC.pickle,88,1.670498084291188,NCR
29,BS_108,BS_108_6_AC.pickle,90,1.6941694169416954,NCR
30,BS_108,BS_108_6_AC.pickle,125,2.038429406850462,Inconclusive
31,BS_108,BS_108_6_AC.pickle,126,16.727272727272727,CR (enhanced)
32,BS_108,BS_108_6_AC.pickle,133,6.099616858237546,CR (enhanced)
33,BS_40,BS_40_10_AC.pickle,0,0.8272506082725062,NCR
34,BS_40,BS_40_10_AC.pickle,2,2.6143790849673216,Inconclusive
35,BS_40,BS_40_10_AC.pickle,3,0.5930470347648259,NCR
