,animal,session,cluster ID,learning phase,category
0,BS_108,BS_108_1_AC.pickle,2,pre expert,CR (enhanced)
1,BS_108,BS_108_1_AC.pickle,8,pre expert,CR (enhanced)
2,BS_108,BS_108_1_AC.pickle,9,pre expert,CR (enhanced)
3,BS_108,BS_108_1_AC.pickle,14,pre expert,CR (enhanced)
4,BS_108,BS_108_1_AC.pickle,34,pre expert,CR (enhanced)
5,BS_108,BS_108_1_AC.pickle,35,pre expert,CR (enhanced)
6,BS_108,BS_108_2_AC.pickle,2,pre expert,CR (enhanced)
7,BS_108,BS_108_2_AC.pickle,7,pre expert,CR (enhanced)
8,BS_108,BS_108_2_AC.pickle,26,pre expert,CR (enhanced)
9,BS_108,BS_108_4_AC.pickle,26,post early,NCR
10,BS_108,BS_108_4_AC.pickle,93,post early,NCR
11,BS_108,BS_108_6_AC.pickle,2,post early,NCR
12,BS_108,BS_108_6_AC.pickle,3,post early,CR (enhanced)
13,BS_108,BS_108_6_AC.pickle,9,post early,CR (enhanced)
14,BS_108,BS_108_6_AC.pickle,33,post early,NCR
15,BS_108,BS_108_6_AC.pickle,35,post early,CR (enhanced)
16,BS_108,BS_108_6_AC.pickle,38,post early,CR (enhanced)
17,BS_108,BS_108_6_AC.pickle,39,post early,NCR
18,BS_108,BS_108_6_AC.pickle,47,post early,CR (enhanced)
19,BS_108,BS_108_6_AC.pickle,48,post early,CR (enhanced)
20,BS_108,BS_108_6_AC.pickle,49,post early,CR (enhanced)
21,BS_108,BS_108_6_AC.pickle,50,post early,NCR
22,BS_108,BS_108_6_AC.pickle,72,post early,NCR
23,BS_108,BS_108_6_AC.pickle,73,post early,CR (enhanced)
24,BS_108,BS_108_6_AC.pickle,76,post early,NCR
25,BS_108,BS_108_6_AC.pickle,78,post early,NCR
26,BS_108,BS_108_6_AC.pickle,79,post early,NCR
27,BS_108,BS_108_6_AC.pickle,82,post early,NCR
28,BS_108,BS_108_6_AC.pickle,88,post early,NCR
29,BS_108,BS_108_6_AC.pickle,90,post early,NCR
30,BS_108,BS_108_6_AC.pickle,125,post early,NCR
31,BS_108,BS_108_6_AC.pickle,126,post early,CR (enhanced)
32,BS_108,BS_108_6_AC.pickle,133,post early,CR (enhanced)
33,BS_40,BS_40_10_AC.pickle,0,pre late,NCR
34,BS_40,BS_40_10_AC.pickle,2,pre late,NCR
35,BS_40,BS_40_10_AC.pickle,3,pre late,NCR
36,BS_40,BS_40_10_AC.pickle,5,pre late,CR (suppressed)
37,BS_40,BS_40_10_AC.pickle,9,pre late,NCR
38,BS_40,BS_40_10_AC.pickle,12,pre late,NCR
39,BS_40,BS_40_10_AC.pickle,20,pre late,NCR
40,BS_40,BS_40_10_AC.pickle,22,pre late,NCR
41,BS_40,BS_40_10_AC.pickle,23,pre late,CR (enhanced)
42,BS_40,BS_40_10_AC.pickle,24,pre late,NCR
43,BS_40,BS_40_10_AC.pickle,25,pre late,NCR
44,BS_40,BS_40_10_AC.pickle,44,pre late,NCR
45,BS_40,BS_40_10_AC.pickle,50,pre late,NCR
46,BS_40,BS_40_10_AC.pickle,53,pre late,NCR
47,BS_40,BS_40_10_AC.pickle,55,pre late,NCR
48,BS_40,BS_40_10_AC.pickle,58,pre late,NCR
49,BS_40,BS_40_10_AC.pickle,73,pre late,NCR
50,BS_40,BS_40_12_AC.pickle,2,pre expert,CR (suppressed)
51,BS_40,BS_40_12_AC.pickle,5,pre expert,NCR
52,BS_40,BS_40_12_AC.pickle,6,pre expert,NCR
53,BS_40,BS_40_12_AC.pickle,27,pre expert,NCR
54,BS_40,BS_40_12_AC.pickle,29,pre expert,NCR
55,BS_40,BS_40_12_AC.pickle,50,pre expert,CR (suppressed)
56,BS_40,BS_40_12_AC.pickle,52,pre expert,CR (suppressed)
57,BS_40,BS_40_12_AC.pickle,56,pre expert,CR (enhanced)
58,BS_40,BS_40_12_AC.pickle,57,pre expert,NCR
59,BS_40,BS_40_12_AC.pickle,80,pre expert,CR (enhanced)
60,BS_40,BS_40_12_AC.pickle,85,pre expert,NCR
61,BS_40,BS_40_12_AC.pickle,100,pre expert,CR (suppressed)
62,BS_40,BS_40_12_AC.pickle,103,pre expert,NCR
63,BS_40,BS_40_12_AC.pickle,118,pre expert,NCR
64,BS_40,BS_40_15_AC.pickle,0,post early,NCR
65,BS_40,BS_40_15_AC.pickle,1,post early,NCR
66,BS_40,BS_40_15_AC.pickle,3,post early,NCR
67,BS_40,BS_40_15_AC.pickle,7,post early,NCR
68,BS_40,BS_40_15_AC.pickle,10,post early,NCR
69,BS_40,BS_40_15_AC.pickle,40,post early,CR (enhanced)
70,BS_40,BS_40_15_AC.pickle,47,post early,CR (enhanced)
71,BS_40,BS_40_15_AC.pickle,60,post early,NCR
72,BS_40,BS_40_15_AC.pickle,62,post early,CR (suppressed)
73,BS_40,BS_40_15_AC.pickle,64,post early,NCR
74,BS_40,BS_40_15_AC.pickle,66,post early,NCR
75,BS_40,BS_40_15_AC.pickle,68,post early,CR (enhanced)
76,BS_40,BS_40_16_AC.pickle,0,post early,NCR
77,BS_40,BS_40_16_AC.pickle,4,post early,NCR
78,BS_40,BS_40_16_AC.pickle,5,post early,NCR
79,BS_40,BS_40_16_AC.pickle,10,post early,NCR
80,BS_40,BS_40_16_AC.pickle,14,post early,CR (enhanced)
81,BS_40,BS_40_16_AC.pickle,15,post early,NCR
82,BS_40,BS_40_16_AC.pickle,16,post early,NCR
83,BS_40,BS_40_16_AC.pickle,21,post early,CR (enhanced)
84,BS_40,BS_40_16_AC.pickle,24,post early,CR (enhanced)
85,BS_40,BS_40_16_AC.pickle,26,post early,CR (enhanced)
86,BS_40,BS_40_16_AC.pickle,35,post early,CR (enhanced)
87,BS_40,BS_40_18_AC.pickle,2,post early,NCR
88,BS_40,BS_40_18_AC.pickle,4,post early,NCR
89,BS_40,BS_40_18_AC.pickle,19,post early,NCR
90,BS_40,BS_40_18_AC.pickle,36,post early,NCR
91,BS_40,BS_40_18_AC.pickle,41,post early,NCR
92,BS_40,BS_40_18_AC.pickle,49,post early,NCR
93,BS_40,BS_40_19_AC.pickle,1,post late,NCR
94,BS_40,BS_40_19_AC.pickle,3,post late,NCR
95,BS_40,BS_40_19_AC.pickle,6,post late,NCR
96,BS_40,BS_40_19_AC.pickle,8,post late,NCR
97,BS_40,BS_40_19_AC.pickle,19,post late,NCR
98,BS_40,BS_40_19_AC.pickle,22,post late,CR (enhanced)
99,BS_40,BS_40_19_AC.pickle,31,post late,NCR
100,BS_40,BS_40_19_AC.pickle,33,post late,NCR
101,BS_40,BS_40_19_AC.pickle,34,post late,NCR
102,BS_40,BS_40_19_AC.pickle,35,post late,CR (enhanced)
103,BS_40,BS_40_19_AC.pickle,46,post late,NCR
104,BS_40,BS_40_19_AC.pickle,47,post late,NCR
105,BS_40,BS_40_19_AC.pickle,48,post late,NCR
106,BS_40,BS_40_21_AC.pickle,4,post expert,NCR
107,BS_40,BS_40_21_AC.pickle,32,post expert,NCR
108,BS_40,BS_40_21_AC.pickle,33,post expert,NCR
109,BS_40,BS_40_21_AC.pickle,37,post expert,CR (enhanced)
110,BS_40,BS_40_21_AC.pickle,42,post expert,NCR
111,BS_40,BS_40_21_AC.pickle,49,post expert,CR (enhanced)
112,BS_40,BS_40_21_AC.pickle,53,post expert,CR (enhanced)
113,BS_40,BS_40_21_AC.pickle,54,post expert,CR (enhanced)
114,BS_40,BS_40_21_AC.pickle,55,post expert,NCR
115,BS_40,BS_40_22_AC.pickle,1,post expert,NCR
116,BS_40,BS_40_22_AC.pickle,7,post expert,CR (suppressed)
117,BS_40,BS_40_22_AC.pickle,11,post expert,CR (enhanced)
118,BS_40,BS_40_22_AC.pickle,13,post expert,NCR
119,BS_40,BS_40_2_AC.pickle,4,pre late,CR (enhanced)
120,BS_40,BS_40_2_AC.pickle,15,pre late,NCR
121,BS_40,BS_40_2_AC.pickle,18,pre late,CR (enhanced)
122,BS_40,BS_40_2_AC.pickle,30,pre late,NCR
123,BS_40,BS_40_2_AC.pickle,33,pre late,CR (enhanced)
124,BS_40,BS_40_2_AC.pickle,43,pre late,NCR
125,BS_40,BS_40_2_AC.pickle,45,pre late,NCR
126,BS_40,BS_40_2_AC.pickle,46,pre late,CR (suppressed)
127,BS_40,BS_40_2_AC.pickle,51,pre late,NCR
128,BS_40,BS_40_2_AC.pickle,56,pre late,CR (enhanced)
129,BS_40,BS_40_2_AC.pickle,58,pre late,NCR
130,BS_40,BS_40_2_AC.pickle,61,pre late,CR (enhanced)
131,BS_40,BS_40_2_AC.pickle,65,pre late,CR (enhanced)
132,BS_40,BS_40_2_AC.pickle,66,pre late,CR (enhanced)
133,BS_40,BS_40_2_AC.pickle,67,pre late,CR (enhanced)
134,BS_40,BS_40_2_AC.pickle,70,pre late,NCR
135,BS_40,BS_40_2_AC.pickle,72,pre late,CR (enhanced)
136,BS_40,BS_40_2_AC.pickle,83,pre late,CR (enhanced)
137,BS_40,BS_40_2_AC.pickle,96,pre late,CR (enhanced)
138,BS_40,BS_40_2_AC.pickle,97,pre late,CR (suppressed)
139,BS_40,BS_40_2_AC.pickle,98,pre late,CR (enhanced)
140,BS_40,BS_40_2_AC.pickle,103,pre late,CR (enhanced)
141,BS_40,BS_40_2_AC.pickle,115,pre late,CR (enhanced)
142,BS_40,BS_40_2_AC.pickle,120,pre late,NCR
143,BS_40,BS_40_2_AC.pickle,122,pre late,NCR
144,BS_40,BS_40_2_AC.pickle,124,pre late,NCR
145,BS_40,BS_40_2_AC.pickle,133,pre late,NCR
146,BS_40,BS_40_2_AC.pickle,138,pre late,NCR
147,BS_40,BS_40_2_AC.pickle,142,pre late,NCR
148,BS_40,BS_40_2_AC.pickle,153,pre late,CR (enhanced)
149,BS_40,BS_40_2_AC.pickle,154,pre late,CR (enhanced)
150,BS_40,BS_40_2_AC.pickle,156,pre late,NCR
151,BS_40,BS_40_2_AC.pickle,162,pre late,NCR
