,animal,session,cluster ID,learning phase,FR modulation,control decoding performance
0,BS_108,BS_108_1_AC.pickle,2,pre expert,9.972451790633608,0.500363181
1,BS_108,BS_108_1_AC.pickle,8,pre expert,21.7741935483871,0.496321261
2,BS_108,BS_108_1_AC.pickle,9,pre expert,15.806451612903228,0.504236031
3,BS_108,BS_108_1_AC.pickle,14,pre expert,10.964187327823693,0.501824248
4,BS_108,BS_108_1_AC.pickle,34,pre expert,16.989247311827963,0.512582185
5,BS_108,BS_108_1_AC.pickle,35,pre expert,13.064516129032258,0.498107238
6,BS_108,BS_108_2_AC.pickle,2,pre expert,15.402298850574715,0.493133586
7,BS_108,BS_108_2_AC.pickle,7,pre expert,6.321839080459773,0.502229761
8,BS_108,BS_108_2_AC.pickle,26,pre expert,3.563218390804598,0.503344289
9,BS_108,BS_108_4_AC.pickle,26,post early,2.8528528528528545,0.505661321
10,BS_108,BS_108_4_AC.pickle,93,post early,1.9721329046087879,
11,BS_108,BS_108_6_AC.pickle,2,post early,3.446969696969696,0.501325768
12,BS_108,BS_108_6_AC.pickle,3,post early,5.959595959595956,0.505526936
13,BS_108,BS_108_6_AC.pickle,9,post early,3.833333333333334,0.503640073
14,BS_108,BS_108_6_AC.pickle,33,post early,3.2600732600732596,0.497374759
15,BS_108,BS_108_6_AC.pickle,35,post early,4.944944944944941,0.496212295
16,BS_108,BS_108_6_AC.pickle,38,post early,4.245210727969349,0.505166399
17,BS_108,BS_108_6_AC.pickle,39,post early,1.6757741347905284,0.502015438
18,BS_108,BS_108_6_AC.pickle,47,post early,15.825734549138806,0.496738189
19,BS_108,BS_108_6_AC.pickle,48,post early,9.593869731800776,0.498658954
20,BS_108,BS_108_6_AC.pickle,49,post early,7.203065134099624,0.498561007
21,BS_108,BS_108_6_AC.pickle,50,post early,2.1149425287356345,0.50222463
22,BS_108,BS_108_6_AC.pickle,72,post early,2.7279693486590064,0.504431246
23,BS_108,BS_108_6_AC.pickle,73,post early,5.633528265107213,0.497005693
24,BS_108,BS_108_6_AC.pickle,76,post early,1.5172413793103448,0.49716804
25,BS_108,BS_108_6_AC.pickle,78,post early,1.313432835820895,0.493004281
26,BS_108,BS_108_6_AC.pickle,79,post early,0.9201388888888884,0.503390474
27,BS_108,BS_108_6_AC.pickle,82,post early,1.5019157088122612,0.501111619
28,BS_108,BS_108_6_AC.pickle,88,post early,1.670498084291188,0.5002364
29,BS_108,BS_108_6_AC.pickle,90,post early,1.6941694169416954,0.488788808
30,BS_108,BS_108_6_AC.pickle,125,post early,2.038429406850462,0.500625424
31,BS_108,BS_108_6_AC.pickle,126,post early,16.727272727272727,0.504272727
32,BS_108,BS_108_6_AC.pickle,133,post early,6.099616858237546,0.506399191
33,BS_40,BS_40_10_AC.pickle,0,pre late,0.8272506082725062,
