,animal,session,cluster ID,phase,condition,FR modulation
0,BS_108,BS_108_1_AC.pickle,2,pre expert,behaving,9.972451790633608
1,BS_108,BS_108_1_AC.pickle,8,pre expert,behaving,21.7741935483871
2,BS_108,BS_108_1_AC.pickle,9,pre expert,behaving,15.806451612903228
3,BS_108,BS_108_1_AC.pickle,14,pre expert,behaving,10.964187327823693
4,BS_108,BS_108_1_AC.pickle,34,pre expert,behaving,16.989247311827963
5,BS_108,BS_108_1_AC.pickle,35,pre expert,behaving,13.064516129032258
6,BS_108,BS_108_2_AC.pickle,2,pre expert,behaving,15.402298850574715
7,BS_108,BS_108_2_AC.pickle,6,pre expert,behaving,
8,BS_108,BS_108_2_AC.pickle,7,pre expert,behaving,6.321839080459773
9,BS_108,BS_108_2_AC.pickle,26,pre expert,behaving,3.563218390804598
10,BS_108,BS_108_4_AC.pickle,26,post early,behaving,2.8528528528528545
11,BS_108,BS_108_4_AC.pickle,93,post early,behaving,1.9721329046087879
12,BS_108,BS_108_6_AC.pickle,2,post early,behaving,3.446969696969696
13,BS_108,BS_108_6_AC.pickle,3,post early,behaving,5.959595959595956
14,BS_108,BS_108_6_AC.pickle,9,post early,behaving,3.833333333333334
15,BS_108,BS_108_6_AC.pickle,33,post early,behaving,3.2600732600732596
16,BS_108,BS_108_6_AC.pickle,35,post early,behaving,4.944944944944941
17,BS_108,BS_108_6_AC.pickle,38,post early,behaving,4.245210727969349
18,BS_108,BS_108_6_AC.pickle,39,post early,behaving,1.6757741347905284
19,BS_108,BS_108_6_AC.pickle,47,post early,behaving,15.825734549138806
20,BS_108,BS_108_6_AC.pickle,48,post early,behaving,9.593869731800776
21,BS_108,BS_108_6_AC.pickle,49,post early,behaving,7.203065134099624
22,BS_108,BS_108_6_AC.pickle,50,post early,behaving,2.1149425287356345
23,BS_108,BS_108_6_AC.pickle,72,post early,behaving,2.7279693486590064
24,BS_108,BS_108_6_AC.pickle,73,post early,behaving,5.633528265107213
25,BS_108,BS_108_6_AC.pickle,76,post early,behaving,1.5172413793103448
26,BS_108,BS_108_6_AC.pickle,78,post early,behaving,1.313432835820895
27,BS_108,BS_108_6_AC.pickle,79,post early,behaving,0.9201388888888884
28,BS_108,BS_108_6_AC.pickle,82,post early,behaving,1.5019157088122612
29,BS_108,BS_108_6_AC.pickle,88,post early,behaving,1.670498084291188
30,BS_108,BS_108_6_AC.pickle,90,post early,behaving,1.6941694169416954
31,BS_108,BS_108_6_AC.pickle,125,post early,behaving,2.038429406850462
32,BS_108,BS_108_6_AC.pickle,126,post early,behaving,16.727272727272727
33,BS_108,BS_108_6_AC.pickle,133,post early,behaving,6.099616858237546
34,BS_40,BS_40_10_AC.pickle,0,pre late,behaving,0.8272506082725062
35,BS_40,BS_40_10_AC.pickle,2,pre late,behaving,2.6143790849673216
36,BS_40,BS_40_10_AC.pickle,3,pre late,behaving,0.5930470347648259
37,BS_40,BS_40_10_AC.pickle,5,pre late,behaving,5.855555555555559
38,BS_40,BS_40_10_AC.pickle,9,pre late,behaving,2.8999999999999972
39,BS_40,BS_40_10_AC.pickle,12,pre late,behaving,1.2222222222222237
40,BS_40,BS_40_10_AC.pickle,20,pre late,behaving,0.9523809523809517
41,BS_40,BS_40_10_AC.pickle,22,pre late,behaving,0.669014084507043
42,BS_40,BS_40_10_AC.pickle,23,pre late,behaving,5.944444444444457
43,BS_40,BS_40_10_AC.pickle,24,pre late,behaving,2.033333333333333
44,BS_40,BS_40_10_AC.pickle,25,pre late,behaving,1.633333333333333
45,BS_40,BS_40_10_AC.pickle,44,pre late,behaving,1.0686095931997566
46,BS_40,BS_40_10_AC.pickle,50,pre late,behaving,1.5222222222222213
47,BS_40,BS_40_10_AC.pickle,53,pre late,behaving,0.31287605294825516
48,BS_40,BS_40_10_AC.pickle,55,pre late,behaving,0.822222222222223
49,BS_40,BS_40_10_AC.pickle,58,pre late,behaving,1.0555555555555562
50,BS_40,BS_40_10_AC.pickle,73,pre late,behaving,2.171602126044036
51,BS_40,BS_40_12_AC.pickle,2,pre expert,behaving,3.647798742138366
52,BS_40,BS_40_12_AC.pickle,5,pre expert,behaving,1.509433962264151
53,BS_40,BS_40_12_AC.pickle,6,pre expert,behaving,0.0
54,BS_40,BS_40_12_AC.pickle,27,pre expert,behaving,2.1383647798742134
55,BS_40,BS_40_12_AC.pickle,29,pre expert,behaving,2.767295597484277
56,BS_40,BS_40_12_AC.pickle,50,pre expert,behaving,3.773584905660378
57,BS_40,BS_40_12_AC.pickle,52,pre expert,behaving,7.169811320754717
58,BS_40,BS_40_12_AC.pickle,56,pre expert,behaving,4.528301886792454
59,BS_40,BS_40_12_AC.pickle,57,pre expert,behaving,3.396226415094339
60,BS_40,BS_40_12_AC.pickle,80,pre expert,behaving,7.044025157232703
61,BS_40,BS_40_12_AC.pickle,82,pre expert,behaving,
62,BS_40,BS_40_12_AC.pickle,85,pre expert,behaving,2.6666666666666665
63,BS_40,BS_40_12_AC.pickle,86,pre expert,behaving,
64,BS_40,BS_40_12_AC.pickle,90,pre expert,behaving,
65,BS_40,BS_40_12_AC.pickle,100,pre expert,behaving,4.150943396226414
66,BS_40,BS_40_12_AC.pickle,103,pre expert,behaving,0.7547169811320753
67,BS_40,BS_40_12_AC.pickle,110,pre expert,behaving,
68,BS_40,BS_40_12_AC.pickle,118,pre expert,behaving,2.1383647798742147
69,BS_40,BS_40_12_AC.pickle,119,pre expert,behaving,
70,BS_40,BS_40_15_AC.pickle,0,post early,behaving,1.2209302325581386
71,BS_40,BS_40_15_AC.pickle,1,post early,behaving,0.9684684684684681
72,BS_40,BS_40_15_AC.pickle,3,post early,behaving,3.410852713178299
73,BS_40,BS_40_15_AC.pickle,7,post early,behaving,2.002442002442002
74,BS_40,BS_40_15_AC.pickle,10,post early,behaving,1.6472868217054268
75,BS_40,BS_40_15_AC.pickle,40,post early,behaving,8.148148148148147
76,BS_40,BS_40_15_AC.pickle,47,post early,behaving,17.131782945736436
77,BS_40,BS_40_15_AC.pickle,60,post early,behaving,0.9688581314878892
78,BS_40,BS_40_15_AC.pickle,62,post early,behaving,5.910364145658262
79,BS_40,BS_40_15_AC.pickle,64,post early,behaving,2.2286821705426374
80,BS_40,BS_40_15_AC.pickle,66,post early,behaving,1.2640163098878694
81,BS_40,BS_40_15_AC.pickle,68,post early,behaving,27.03488372093023
82,BS_40,BS_40_16_AC.pickle,0,post early,behaving,2.973621103117507
83,BS_40,BS_40_16_AC.pickle,4,post early,behaving,1.3981244671781772
84,BS_40,BS_40_16_AC.pickle,5,post early,behaving,0.46035805626598475
85,BS_40,BS_40_16_AC.pickle,10,post early,behaving,1.9266837169650464
86,BS_40,BS_40_16_AC.pickle,14,post early,behaving,3.5913978494623677
87,BS_40,BS_40_16_AC.pickle,15,post early,behaving,1.359649122807018
88,BS_40,BS_40_16_AC.pickle,16,post early,behaving,0.559006211180125
89,BS_40,BS_40_16_AC.pickle,21,post early,behaving,27.48508098891727
90,BS_40,BS_40_16_AC.pickle,24,post early,behaving,27.096774193548367
91,BS_40,BS_40_16_AC.pickle,26,post early,behaving,34.12087912087914
92,BS_40,BS_40_16_AC.pickle,35,post early,behaving,21.605691056910562
93,BS_40,BS_40_18_AC.pickle,2,post early,behaving,0.8088235294117665
94,BS_40,BS_40_18_AC.pickle,4,post early,behaving,0.7843137254901957
95,BS_40,BS_40_18_AC.pickle,19,post early,behaving,2.7799227799227797
96,BS_40,BS_40_18_AC.pickle,36,post early,behaving,1.4338235294117652
97,BS_40,BS_40_18_AC.pickle,41,post early,behaving,0.6372549019607854
98,BS_40,BS_40_18_AC.pickle,49,post early,behaving,1.4666666666666668
99,BS_40,BS_40_19_AC.pickle,1,post late,behaving,0.8281573498964818
100,BS_40,BS_40_19_AC.pickle,3,post late,behaving,1.7681159420289831
101,BS_40,BS_40_19_AC.pickle,6,post late,behaving,2.056590752242929
102,BS_40,BS_40_19_AC.pickle,8,post late,behaving,1.463077984817115
103,BS_40,BS_40_19_AC.pickle,19,post late,behaving,1.8771566597653586
104,BS_40,BS_40_19_AC.pickle,22,post late,behaving,6.749482401656327
105,BS_40,BS_40_19_AC.pickle,31,post late,behaving,2.1808143547273975
106,BS_40,BS_40_19_AC.pickle,33,post late,behaving,1.78117048346056
107,BS_40,BS_40_19_AC.pickle,34,post late,behaving,0.6042296072507553
108,BS_40,BS_40_19_AC.pickle,35,post late,behaving,4.483260553129552
109,BS_40,BS_40_19_AC.pickle,46,post late,behaving,1.5596963423050387
110,BS_40,BS_40_19_AC.pickle,47,post late,behaving,0.5935127674258112
111,BS_40,BS_40_19_AC.pickle,48,post late,behaving,3.050379572118701
112,BS_40,BS_40_21_AC.pickle,4,post expert,behaving,1.4492753623188404
113,BS_40,BS_40_21_AC.pickle,8,post expert,behaving,
114,BS_40,BS_40_21_AC.pickle,26,post expert,behaving,
115,BS_40,BS_40_21_AC.pickle,27,post expert,behaving,
116,BS_40,BS_40_21_AC.pickle,32,post expert,behaving,1.3768115942028982
117,BS_40,BS_40_21_AC.pickle,33,post expert,behaving,1.6666666666666667
118,BS_40,BS_40_21_AC.pickle,37,post expert,behaving,4.166666666666667
119,BS_40,BS_40_21_AC.pickle,42,post expert,behaving,2.1014492753623184
120,BS_40,BS_40_21_AC.pickle,49,post expert,behaving,5.000000000000001
121,BS_40,BS_40_21_AC.pickle,53,post expert,behaving,8.717948717948717
122,BS_40,BS_40_21_AC.pickle,54,post expert,behaving,5.999999999999999
123,BS_40,BS_40_21_AC.pickle,55,post expert,behaving,1.4492753623188404
124,BS_40,BS_40_22_AC.pickle,0,post expert,behaving,
125,BS_40,BS_40_22_AC.pickle,1,post expert,behaving,0.5656565656565657
126,BS_40,BS_40_22_AC.pickle,7,post expert,behaving,5.494949494949493
127,BS_40,BS_40_22_AC.pickle,11,post expert,behaving,9.047619047619046
128,BS_40,BS_40_22_AC.pickle,13,post expert,behaving,0.9696969696969694
129,BS_40,BS_40_2_AC.pickle,4,pre late,behaving,3.8095238095238115
130,BS_40,BS_40_2_AC.pickle,15,pre late,behaving,3.010204081632654
131,BS_40,BS_40_2_AC.pickle,18,pre late,behaving,3.911564625850337
132,BS_40,BS_40_2_AC.pickle,30,pre late,behaving,1.071428571428571
133,BS_40,BS_40_2_AC.pickle,33,pre late,behaving,4.0102171136653935
134,BS_40,BS_40_2_AC.pickle,43,pre late,behaving,2.389486260454004
135,BS_40,BS_40_2_AC.pickle,45,pre late,behaving,1.9853709508881925
136,BS_40,BS_40_2_AC.pickle,46,pre late,behaving,5.425170068027217
137,BS_40,BS_40_2_AC.pickle,51,pre late,behaving,1.9387755102040793
138,BS_40,BS_40_2_AC.pickle,56,pre late,behaving,4.63980463980464
139,BS_40,BS_40_2_AC.pickle,58,pre late,behaving,1.9557823129251726
140,BS_40,BS_40_2_AC.pickle,61,pre late,behaving,14.625850340136058
141,BS_40,BS_40_2_AC.pickle,65,pre late,behaving,3.962585034013606
142,BS_40,BS_40_2_AC.pickle,66,pre late,behaving,8.231292517006809
143,BS_40,BS_40_2_AC.pickle,67,pre late,behaving,6.484848484848485
144,BS_40,BS_40_2_AC.pickle,70,pre late,behaving,2.857142857142856
145,BS_40,BS_40_2_AC.pickle,72,pre late,behaving,5.357142857142855
