,animal,session,cluster ID,learning phase,category
0,BS_108,BS_108_1_AC.pickle,2,pre expert,CR (enhanced)
1,BS_108,BS_108_1_AC.pickle,8,pre expert,CR (enhanced)
2,BS_108,BS_108_1_AC.pickle,9,pre expert,CR (enhanced)
3,BS_108,BS_108_1_AC.pickle,34,pre expert,CR (enhanced)
4,BS_108,BS_108_2_AC.pickle,2,pre expert,CR (enhanced)
5,BS_108,BS_108_2_AC.pickle,7,pre expert,CR (enhanced)
6,BS_108,BS_108_2_AC.pickle,26,pre expert,CR (enhanced)
7,BS_108,BS_108_6_AC.pickle,2,post early,NCR
8,BS_108,BS_108_6_AC.pickle,9,post early,CR (enhanced)
9,BS_108,BS_108_6_AC.pickle,33,post early,NCR
10,BS_108,BS_108_6_AC.pickle,47,post early,CR (enhanced)
11,BS_108,BS_108_6_AC.pickle,48,post early,CR (enhanced)
12,BS_108,BS_108_6_AC.pickle,78,post early,NCR
13,BS_108,BS_108_6_AC.pickle,79,post early,NCR
14,BS_108,BS_108_6_AC.pickle,126,post early,CR (enhanced)
15,BS_108,BS_108_6_AC.pickle,133,post early,CR (enhanced)
16,BS_40,BS_40_10_AC.pickle,5,pre late,CR (suppressed)
17,BS_40,BS_40_10_AC.pickle,12,pre late,NCR
18,BS_40,BS_40_12_AC.pickle,2,pre expert,CR (suppressed)
19,BS_40,BS_40_12_AC.pickle,29,pre expert,NCR
20,BS_40,BS_40_12_AC.pickle,52,pre expert,CR (suppressed)
21,BS_40,BS_40_12_AC.pickle,56,pre expert,CR (enhanced)
22,BS_40,BS_40_15_AC.pickle,0,post early,NCR
23,BS_40,BS_40_16_AC.pickle,21,post early,CR (enhanced)
24,BS_40,BS_40_16_AC.pickle,35,post early,CR (enhanced)
25,BS_40,BS_40_2_AC.pickle,61,pre late,CR (enhanced)
26,BS_40,BS_40_2_AC.pickle,66,pre late,CR (enhanced)
27,BS_40,BS_40_2_AC.pickle,67,pre late,CR (enhanced)
28,BS_40,BS_40_2_AC.pickle,103,pre late,CR (enhanced)
29,BS_40,BS_40_2_AC.pickle,115,pre late,CR (enhanced)
30,BS_40,BS_40_2_AC.pickle,122,pre late,NCR
31,BS_40,BS_40_2_AC.pickle,153,pre late,CR (enhanced)
32,BS_40,BS_40_2_AC.pickle,166,pre late,NCR
33,BS_40,BS_40_2_AC.pickle,194,pre late,CR (enhanced)
34,BS_40,BS_40_2_AC.pickle,195,pre late,CR (enhanced)
35,BS_40,BS_40_2_AC.pickle,201,pre late,NCR
36,BS_40,BS_40_2_AC.pickle,206,pre late,CR (enhanced)
37,BS_40,BS_40_2_AC.pickle,222,pre late,NCR
38,BS_40,BS_40_2_AC.pickle,225,pre late,CR (enhanced)
39,BS_40,BS_40_2_AC.pickle,231,pre late,NCR
40,BS_40,BS_40_3_AC.pickle,14,pre late,CR (enhanced)
41,BS_40,BS_40_3_AC.pickle,15,pre late,CR (enhanced)
42,BS_40,BS_40_3_AC.pickle,33,pre late,NCR
43,BS_40,BS_40_3_AC.pickle,36,pre late,NCR
44,BS_40,BS_40_3_AC.pickle,57,pre late,CR (enhanced)
45,BS_40,BS_40_3_AC.pickle,76,pre late,NCR
46,BS_40,BS_40_3_AC.pickle,81,pre late,CR (enhanced)
47,BS_40,BS_40_3_AC.pickle,114,pre late,CR (enhanced)
48,BS_40,BS_40_3_AC.pickle,151,pre late,NCR
49,BS_40,BS_40_3_AC.pickle,155,pre late,CR (enhanced)
50,BS_40,BS_40_4_AC.pickle,18,pre late,CR (enhanced)
51,BS_40,BS_40_4_AC.pickle,29,pre late,CR (enhanced)
52,BS_40,BS_40_6_AC.pickle,7,pre late,NCR
53,BS_40,BS_40_6_AC.pickle,11,pre late,NCR
54,BS_40,BS_40_6_AC.pickle,15,pre late,CR (enhanced)
55,BS_40,BS_40_6_AC.pickle,27,pre late,NCR
56,BS_40,BS_40_7_AC.pickle,36,pre late,NCR
57,BS_40,BS_40_8_AC.pickle,44,pre late,NCR
58,BS_41,BS_41_2_AC.pickle,23,post early,NCR
59,BS_41,BS_41_2_AC.pickle,52,post early,CR (enhanced)
60,BS_41,BS_41_2_AC.pickle,55,post early,CR (enhanced)
61,BS_41,BS_41_2_AC.pickle,155,post early,NCR
62,BS_41,BS_41_2_AC.pickle,236,post early,CR (enhanced)
63,BS_41,BS_41_4_AC.pickle,6,post late,CR (suppressed)
64,BS_41,BS_41_4_AC.pickle,19,post late,CR (enhanced)
65,BS_41,BS_41_4_AC.pickle,20,post late,NCR
66,BS_41,BS_41_4_AC.pickle,57,post late,CR (enhanced)
67,BS_41,BS_41_4_AC.pickle,64,post late,CR (enhanced)
68,BS_41,BS_41_4_AC.pickle,66,post late,CR (enhanced)
69,BS_41,BS_41_4_AC.pickle,84,post late,NCR
70,BS_41,BS_41_4_AC.pickle,95,post late,NCR
71,BS_41,BS_41_4_AC.pickle,97,post late,NCR
72,BS_41,BS_41_4_AC.pickle,100,post late,NCR
73,BS_41,BS_41_4_AC.pickle,101,post late,CR (suppressed)
74,BS_41,BS_41_4_AC.pickle,115,post late,CR (enhanced)
75,BS_41,BS_41_4_AC.pickle,117,post late,CR (enhanced)
76,BS_41,BS_41_4_AC.pickle,119,post late,NCR
77,BS_41,BS_41_5_AC.pickle,13,post late,CR (enhanced)
78,BS_41,BS_41_5_AC.pickle,15,post late,NCR
79,BS_41,BS_41_5_AC.pickle,68,post late,NCR
80,BS_41,BS_41_6_AC.pickle,3,post late,CR (enhanced)
81,BS_41,BS_41_6_AC.pickle,6,post late,NCR
82,BS_41,BS_41_6_AC.pickle,7,post late,CR (enhanced)
83,BS_41,BS_41_6_AC.pickle,32,post late,NCR
84,BS_41,BS_41_7_AC.pickle,0,post late,NCR
85,BS_41,BS_41_7_AC.pickle,50,post late,NCR
86,BS_41,BS_41_7_AC.pickle,55,post late,NCR
87,BS_41,BS_41_7_AC.pickle,63,post late,NCR
88,BS_41,BS_41_7_AC.pickle,64,post late,CR (enhanced)
89,BS_41,BS_41_7_AC.pickle,73,post late,NCR
90,BS_41,BS_41_7_AC.pickle,81,post late,NCR
91,BS_41,BS_41_8_AC.pickle,13,post late,NCR
92,BS_41,BS_41_8_AC.pickle,58,post late,NCR
93,BS_41,BS_41_8_AC.pickle,60,post late,CR (enhanced)
94,BS_41,BS_41_8_AC.pickle,61,post late,CR (enhanced)
95,BS_41,BS_41_8_AC.pickle,66,post late,NCR
96,BS_41,BS_41_8_AC.pickle,67,post late,NCR
97,BS_41,BS_41_8_AC.pickle,72,post late,NCR
98,BS_41,BS_41_8_AC.pickle,77,post late,CR (enhanced)
99,BS_41,BS_41_8_AC.pickle,82,post late,CR (suppressed)
100,BS_41,BS_41_9_AC.pickle,24,post late,NCR
101,BS_41,BS_41_9_AC.pickle,37,post late,CR (enhanced)
102,BS_41,BS_41_9_AC.pickle,101,post late,NCR
103,BS_41,BS_41_9_AC.pickle,109,post late,CR (enhanced)
104,BS_42,BS_42_10_AC.pickle,8,post expert,CR (enhanced)
105,BS_42,BS_42_10_AC.pickle,10,post expert,CR (enhanced)
106,BS_42,BS_42_10_AC.pickle,18,post expert,NCR
107,BS_42,BS_42_10_AC.pickle,26,post expert,CR (enhanced)
108,BS_42,BS_42_11_AC.pickle,44,post expert,CR (enhanced)
109,BS_42,BS_42_2_AC.pickle,8,post early,CR (enhanced)
110,BS_42,BS_42_2_AC.pickle,9,post early,CR (suppressed)
111,BS_42,BS_42_2_AC.pickle,12,post early,CR (enhanced)
112,BS_42,BS_42_2_AC.pickle,14,post early,CR (enhanced)
113,BS_42,BS_42_2_AC.pickle,15,post early,NCR
114,BS_42,BS_42_2_AC.pickle,16,post early,CR (enhanced)
115,BS_42,BS_42_2_AC.pickle,54,post early,CR (enhanced)
116,BS_42,BS_42_2_AC.pickle,61,post early,CR (enhanced)
117,BS_42,BS_42_2_AC.pickle,62,post early,CR (enhanced)
118,BS_42,BS_42_2_AC.pickle,64,post early,CR (enhanced)
119,BS_42,BS_42_2_AC.pickle,82,post early,CR (enhanced)
120,BS_42,BS_42_2_AC.pickle,85,post early,CR (enhanced)
121,BS_42,BS_42_2_AC.pickle,86,post early,CR (enhanced)
122,BS_42,BS_42_2_AC.pickle,131,post early,NCR
123,BS_42,BS_42_3_AC.pickle,26,post early,NCR
124,BS_42,BS_42_3_AC.pickle,27,post early,NCR
125,BS_42,BS_42_3_AC.pickle,47,post early,NCR
126,BS_42,BS_42_3_AC.pickle,56,post early,CR (enhanced)
127,BS_42,BS_42_3_AC.pickle,96,post early,CR (enhanced)
128,BS_42,BS_42_3_AC.pickle,101,post early,NCR
129,BS_42,BS_42_4_AC.pickle,36,post early,NCR
130,BS_42,BS_42_4_AC.pickle,40,post early,CR (enhanced)
131,BS_42,BS_42_4_AC.pickle,41,post early,CR (enhanced)
132,BS_42,BS_42_4_AC.pickle,61,post early,CR (enhanced)
133,BS_42,BS_42_4_AC.pickle,65,post early,NCR
134,BS_42,BS_42_5_AC.pickle,33,post early,CR (enhanced)
135,BS_42,BS_42_6_AC.pickle,26,post late,CR (enhanced)
136,BS_42,BS_42_6_AC.pickle,48,post late,CR (enhanced)
137,BS_42,BS_42_6_AC.pickle,76,post late,NCR
138,BS_42,BS_42_7_AC.pickle,25,post late,NCR
139,BS_42,BS_42_7_AC.pickle,35,post late,NCR
140,BS_42,BS_42_7_AC.pickle,42,post late,CR (enhanced)
141,BS_42,BS_42_7_AC.pickle,46,post late,NCR
142,BS_42,BS_42_7_AC.pickle,49,post late,NCR
143,BS_42,BS_42_7_AC.pickle,52,post late,NCR
144,BS_42,BS_42_7_AC.pickle,53,post late,NCR
145,BS_42,BS_42_7_AC.pickle,64,post late,NCR
146,BS_42,BS_42_7_AC.pickle,65,post late,NCR
147,BS_42,BS_42_7_AC.pickle,66,post late,NCR
148,BS_42,BS_42_7_AC.pickle,71,post late,NCR
149,BS_42,BS_42_7_AC.pickle,72,post late,NCR
