,animal,session,cluster ID,pre-switch spont. FR,post-switch spont. FR
0,BS_108,BS_108_3_AC.pickle,19,0.15,0.1
1,BS_108,BS_108_3_AC.pickle,35,2.5,1.5
2,BS_108,BS_108_3_AC.pickle,44,6.15,9.65
3,BS_108,BS_108_3_AC.pickle,62,5.25,6.15
4,BS_108,BS_108_3_AC.pickle,81,5.2,5.45
5,BS_108,BS_108_3_AC.pickle,88,4.45,2.7
6,BS_108,BS_108_3_AC.pickle,107,4.05,3.25
7,BS_108,BS_108_3_AC.pickle,131,9.2,8.9
8,BS_108,BS_108_3_AC.pickle,144,1.0,3.05
9,BS_108,BS_108_3_AC.pickle,155,8.148148148148149,8.45
10,BS_108,BS_108_3_AC.pickle,164,1.35,2.7
11,BS_108,BS_108_3_AC.pickle,175,0.6,0.7
12,BS_108,BS_108_3_AC.pickle,176,2.05,2.1
13,BS_108,BS_108_3_AC.pickle,186,0.6730769230769231,1.1
14,BS_108,BS_108_3_AC.pickle,194,1.2,5.25
15,BS_108,BS_108_3_AC.pickle,195,6.6,11.6
16,BS_108,BS_108_3_AC.pickle,215,1.0,1.1
17,BS_108,BS_108_3_AC.pickle,224,3.1,2.7
18,BS_108,BS_108_3_AC.pickle,229,6.7,0.8
19,BS_108,BS_108_3_AC.pickle,242,1.3,3.7
20,BS_108,BS_108_3_AC.pickle,254,0.95,0.65
21,BS_108,BS_108_3_AC.pickle,256,4.2,4.3
22,BS_108,BS_108_3_AC.pickle,272,1.55,2.85
23,BS_108,BS_108_3_AC.pickle,286,0.5,0.8
24,BS_108,BS_108_3_AC.pickle,316,2.25,2.35
25,BS_108,BS_108_3_AC.pickle,340,1.5,1.9
26,BS_108,BS_108_3_AC.pickle,348,2.1,3.65
27,BS_108,BS_108_3_AC.pickle,361,2.4,6.7
28,BS_108,BS_108_3_AC.pickle,362,1.3461538461538463,1.7
29,BS_108,BS_108_3_AC.pickle,364,7.0,6.3
30,BS_40,BS_40_14_AC.pickle,12,5.05,2.2
31,BS_40,BS_40_14_AC.pickle,21,5.95,3.45
32,BS_40,BS_40_14_AC.pickle,22,9.65,9.1
33,BS_40,BS_40_14_AC.pickle,47,5.2,1.6
34,BS_40,BS_40_14_AC.pickle,48,3.85,3.0232558139534884
35,BS_40,BS_40_14_AC.pickle,49,7.65,4.15
36,BS_40,BS_40_14_AC.pickle,50,4.15,4.45
37,BS_40,BS_40_14_AC.pickle,51,0.3,0.9
38,BS_40,BS_40_14_AC.pickle,53,1.5,4.85
39,BS_40,BS_40_14_AC.pickle,59,30.15,30.55
40,BS_40,BS_40_14_AC.pickle,71,4.55,42.2
41,BS_40,BS_40_14_AC.pickle,85,2.8,3.3
42,BS_40,BS_40_14_AC.pickle,99,4.35,5.4
43,BS_40,BS_40_14_AC.pickle,102,4.0,3.25
44,BS_40,BS_40_14_AC.pickle,106,12.3,27.65
45,BS_40,BS_40_14_AC.pickle,107,23.15,28.55
46,BS_40,BS_40_14_AC.pickle,110,16.05,15.35
47,BS_40,BS_40_14_AC.pickle,111,48.4,46.95
48,BS_40,BS_40_14_AC.pickle,112,6.3,7.4
49,BS_40,BS_40_14_AC.pickle,115,22.85,18.1
50,BS_41,BS_41_1_AC.pickle,0,0.75,0.85
