,animal,session,cluster ID,pre-switch 5k FR,post-switch 5k FR,pre-switch 11k FR,post-switch 11k FR
0,BS_108,BS_108_3_AC.pickle,19,10.7,10.0,12.3,12.1875
1,BS_108,BS_108_3_AC.pickle,35,1.2,0.19230769230769232,4.7,0.5208333333333334
2,BS_108,BS_108_3_AC.pickle,44,11.0,13.365384615384615,4.2,7.5
3,BS_108,BS_108_3_AC.pickle,62,5.0,5.1923076923076925,9.2,15.625
4,BS_108,BS_108_3_AC.pickle,81,5.3,8.557692307692308,9.7,7.708333333333333
5,BS_108,BS_108_3_AC.pickle,88,19.5,14.903846153846153,15.7,14.479166666666666
6,BS_108,BS_108_3_AC.pickle,107,6.2,3.173076923076923,9.1,7.604166666666667
7,BS_108,BS_108_3_AC.pickle,131,11.9,12.596153846153847,13.8,22.604166666666668
8,BS_108,BS_108_3_AC.pickle,144,0.2,3.173076923076923,0.5,1.5625
9,BS_108,BS_108_3_AC.pickle,155,7.6923076923076925,7.6923076923076925,5.714285714285714,10.0
10,BS_108,BS_108_3_AC.pickle,164,1.3,2.4038461538461537,3.2,2.8125
11,BS_108,BS_108_3_AC.pickle,175,1.8,1.3461538461538463,12.9,25.0
12,BS_108,BS_108_3_AC.pickle,176,11.1,12.115384615384615,9.4,13.645833333333334
13,BS_108,BS_108_3_AC.pickle,186,0.0,0.38461538461538464,0.6,0.8333333333333334
14,BS_108,BS_108_3_AC.pickle,194,2.8,5.961538461538462,11.2,17.291666666666668
15,BS_108,BS_108_3_AC.pickle,195,7.1,13.942307692307692,7.4,18.854166666666668
16,BS_108,BS_108_3_AC.pickle,215,1.25,2.1153846153846154,3.5714285714285716,4.895833333333333
17,BS_108,BS_108_3_AC.pickle,224,2.1,1.25,5.8,10.625
18,BS_108,BS_108_3_AC.pickle,229,4.4,0.0,3.1,1.4583333333333333
19,BS_108,BS_108_3_AC.pickle,242,0.8,2.6923076923076925,1.5,4.375
20,BS_108,BS_108_3_AC.pickle,254,6.3,3.269230769230769,13.6,15.520833333333334
21,BS_108,BS_108_3_AC.pickle,256,1.0,1.1538461538461537,0.9,1.25
22,BS_108,BS_108_3_AC.pickle,272,3.3,3.6538461538461537,2.4,2.5
23,BS_108,BS_108_3_AC.pickle,286,0.7,0.6730769230769231,6.2,10.104166666666666
24,BS_108,BS_108_3_AC.pickle,316,1.0,1.6346153846153846,6.1,3.2291666666666665
25,BS_108,BS_108_3_AC.pickle,340,1.0,0.4807692307692308,0.2,0.3125
26,BS_108,BS_108_3_AC.pickle,348,1.0,2.5961538461538463,2.6,2.7083333333333335
27,BS_108,BS_108_3_AC.pickle,361,3.4,8.75,11.2,23.958333333333332
28,BS_108,BS_108_3_AC.pickle,362,0.8333333333333334,1.5384615384615385,2.857142857142857,4.0625
29,BS_108,BS_108_3_AC.pickle,364,21.3,18.653846153846153,10.5,16.979166666666668
30,BS_40,BS_40_14_AC.pickle,12,4.5,1.320754716981132,4.7,2.6595744680851063
31,BS_40,BS_40_14_AC.pickle,21,6.6,4.716981132075472,6.2,3.723404255319149
32,BS_40,BS_40_14_AC.pickle,22,9.9,7.735849056603773,9.0,6.48936170212766
33,BS_40,BS_40_14_AC.pickle,47,4.6,2.358490566037736,5.7,1.702127659574468
34,BS_40,BS_40_14_AC.pickle,48,3.2,2.6,4.2,2.7777777777777777
35,BS_40,BS_40_14_AC.pickle,49,7.2,3.490566037735849,8.3,4.680851063829787
36,BS_40,BS_40_14_AC.pickle,50,3.5,5.0,3.1,2.4468085106382977
37,BS_40,BS_40_14_AC.pickle,51,0.7,0.660377358490566,1.3,1.4893617021276595
38,BS_40,BS_40_14_AC.pickle,53,1.1,4.433962264150943,2.0,3.297872340425532
39,BS_40,BS_40_14_AC.pickle,59,27.8,30.660377358490567,24.9,24.893617021276597
40,BS_40,BS_40_14_AC.pickle,71,1.8,37.35849056603774,3.5,37.97872340425532
41,BS_40,BS_40_14_AC.pickle,85,2.3,2.169811320754717,1.1,2.765957446808511
42,BS_40,BS_40_14_AC.pickle,99,3.7,6.7924528301886795,4.3,3.617021276595745
43,BS_40,BS_40_14_AC.pickle,102,2.7,5.283018867924528,5.1,5.212765957446808
44,BS_40,BS_40_14_AC.pickle,106,13.9,25.09433962264151,10.5,26.595744680851062
45,BS_40,BS_40_14_AC.pickle,107,22.6,29.528301886792452,19.1,26.70212765957447
46,BS_40,BS_40_14_AC.pickle,110,15.3,16.132075471698112,12.4,15.0
47,BS_40,BS_40_14_AC.pickle,111,46.7,47.264150943396224,45.7,50.53191489361702
48,BS_40,BS_40_14_AC.pickle,112,5.6,7.452830188679245,5.0,6.914893617021277
49,BS_40,BS_40_14_AC.pickle,115,21.9,19.339622641509433,26.9,20.106382978723403
50,BS_41,BS_41_1_AC.pickle,0,3.6,2.9464285714285716,4.7,2.5
51,BS_41,BS_41_1_AC.pickle,17,7.4,5.089285714285714,8.4,8.75
52,BS_41,BS_41_1_AC.pickle,32,8.1,9.196428571428571,9.3,11.818181818181818
53,BS_41,BS_41_1_AC.pickle,33,7.2,8.839285714285714,25.6,28.636363636363637
54,BS_41,BS_41_1_AC.pickle,46,19.9,19.196428571428573,8.1,10.454545454545455
55,BS_41,BS_41_1_AC.pickle,58,1.1702127659574468,0.0,1.0638297872340425,1.25
56,BS_41,BS_41_1_AC.pickle,63,0.0,0.26785714285714285,0.2,0.11363636363636363
57,BS_41,BS_41_1_AC.pickle,83,8.0,13.928571428571429,9.9,16.136363636363637
58,BS_41,BS_41_1_AC.pickle,84,32.9,2.5892857142857144,31.9,4.886363636363637
59,BS_41,BS_41_1_AC.pickle,94,0.0,0.08928571428571429,0.3,0.11363636363636363
60,BS_41,BS_41_1_AC.pickle,113,3.9,3.9285714285714284,2.0,3.977272727272727
61,BS_41,BS_41_1_AC.pickle,119,10.3,7.589285714285714,10.3,12.613636363636363
62,BS_41,BS_41_1_AC.pickle,167,24.9,18.392857142857142,8.1,4.659090909090909
63,BS_41,BS_41_1_AC.pickle,169,0.3,2.5892857142857144,6.5,8.068181818181818
64,BS_41,BS_41_1_AC.pickle,173,2.4,4.196428571428571,1.5,5.454545454545454
65,BS_41,BS_41_1_AC.pickle,174,0.7,4.375,3.8,1.3636363636363635
66,BS_41,BS_41_1_AC.pickle,186,4.7,5.089285714285714,1.7,2.5
67,BS_41,BS_41_1_AC.pickle,188,1.4,1.0714285714285714,2.4,3.409090909090909
68,BS_41,BS_41_1_AC.pickle,222,1.9,3.482142857142857,1.6,3.977272727272727
69,BS_41,BS_41_1_AC.pickle,227,3.2,1.6071428571428572,1.8,1.5909090909090908
70,BS_41,BS_41_1_AC.pickle,246,0.6,0.35714285714285715,0.5,0.3409090909090909
71,BS_41,BS_41_1_AC.pickle,253,1.3,0.0,0.3,0.45454545454545453
72,BS_41,BS_41_1_AC.pickle,261,3.1,7.142857142857143,8.7,10.5
73,BS_41,BS_41_1_AC.pickle,288,0.0,0.26785714285714285,0.8,1.3636363636363635
74,BS_41,BS_41_1_AC.pickle,318,0.4,4.285714285714286,1.7,0.9090909090909091
75,BS_41,BS_41_1_AC.pickle,327,28.1,22.053571428571427,77.3,59.65909090909091
