,animal,session,cluster ID,Choice modulation,category
0,BS_108,BS_108_1_AC.pickle,2,3.03030303030303,CR (enhanced)
1,BS_108,BS_108_1_AC.pickle,8,8.595275029356051e-16,Inconclusive
2,BS_108,BS_108_1_AC.pickle,9,8.14516129032258,CR (enhanced)
3,BS_108,BS_108_1_AC.pickle,14,4.765840220385676,CR (enhanced)
4,BS_108,BS_108_1_AC.pickle,34,10.053763440860212,CR (enhanced)
5,BS_108,BS_108_1_AC.pickle,35,2.3387096774193545,Inconclusive
6,BS_108,BS_108_2_AC.pickle,2,6.522988505747126,CR (enhanced)
7,BS_108,BS_108_2_AC.pickle,7,4.511494252873563,CR (enhanced)
8,BS_108,BS_108_2_AC.pickle,26,1.4080459770114941,CR (enhanced)
9,BS_108,BS_108_4_AC.pickle,26,1.0660660660660661,Inconclusive
10,BS_108,BS_108_4_AC.pickle,93,1.6505894962486602,Inconclusive
11,BS_108,BS_108_6_AC.pickle,2,1.6003787878787883,Inconclusive
12,BS_108,BS_108_6_AC.pickle,3,3.535353535353535,CR (enhanced)
13,BS_108,BS_108_6_AC.pickle,9,1.6111111111111107,Inconclusive
14,BS_108,BS_108_6_AC.pickle,33,1.996336996336996,Inconclusive
15,BS_108,BS_108_6_AC.pickle,35,2.6326326326326326,CR (enhanced)
16,BS_108,BS_108_6_AC.pickle,38,2.1302681992337162,CR (enhanced)
17,BS_108,BS_108_6_AC.pickle,39,0.4735883424408016,Inconclusive
18,BS_108,BS_108_6_AC.pickle,47,4.579533941236068,CR (enhanced)
19,BS_108,BS_108_6_AC.pickle,48,6.2605363984674325,CR (enhanced)
20,BS_108,BS_108_6_AC.pickle,49,4.950191570881226,CR (enhanced)
21,BS_108,BS_108_6_AC.pickle,50,1.172413793103448,Inconclusive
22,BS_108,BS_108_6_AC.pickle,72,1.3716475095785436,Inconclusive
23,BS_108,BS_108_6_AC.pickle,73,1.627680311890838,Inconclusive
24,BS_108,BS_108_6_AC.pickle,76,0.5747126436781606,NCR
25,BS_108,BS_108_6_AC.pickle,78,0.7761194029850746,Inconclusive
26,BS_108,BS_108_6_AC.pickle,79,0.6597222222222221,Inconclusive
27,BS_108,BS_108_6_AC.pickle,82,0.8812260536398465,Inconclusive
28,BS_108,BS_108_6_AC.pickle,88,0.22222222222222202,NCR
29,BS_108,BS_108_6_AC.pickle,90,0.12101210121012096,NCR
30,BS_108,BS_108_6_AC.pickle,125,0.6349206349206348,Inconclusive
