,animal,session,cluster,p value
0,BS_108,BS_108_1_AC.pickle,8,0.00034670184543395547
1,BS_108,BS_108_1_AC.pickle,9,2.043133877174695e-05
2,BS_108,BS_108_1_AC.pickle,34,0.87775680831054
3,BS_108,BS_108_2_AC.pickle,2,0.5954161123505355
4,BS_108,BS_108_4_AC.pickle,26,0.0033939935582337783
5,BS_108,BS_108_6_AC.pickle,3,0.58780733332163
6,BS_108,BS_108_6_AC.pickle,9,0.09459884402866979
7,BS_108,BS_108_6_AC.pickle,38,0.11280076084051556
8,BS_108,BS_108_6_AC.pickle,49,0.0026732651306410836
9,BS_108,BS_108_6_AC.pickle,72,0.28532232493575277
10,BS_108,BS_108_6_AC.pickle,76,0.9746441425883934
11,BS_108,BS_108_6_AC.pickle,88,0.35467943139675084
12,BS_108,BS_108_6_AC.pickle,90,0.46123656117307277
13,BS_108,BS_108_6_AC.pickle,125,0.2750287773221626
14,BS_108,BS_108_6_AC.pickle,126,0.09980336612742761
15,BS_108,BS_108_6_AC.pickle,133,0.00013362979455650072
16,BS_40,BS_40_10_AC.pickle,5,0.02146904103482982
17,BS_40,BS_40_10_AC.pickle,9,1.1252594134913878e-10
18,BS_40,BS_40_10_AC.pickle,12,0.5701106800256728
19,BS_40,BS_40_10_AC.pickle,22,0.25988863135962703
20,BS_40,BS_40_10_AC.pickle,23,0.9808787925236273
21,BS_40,BS_40_10_AC.pickle,24,1.1360508733561387e-07
22,BS_40,BS_40_10_AC.pickle,44,0.8016631494451147
23,BS_40,BS_40_10_AC.pickle,50,0.011513171633040501
24,BS_40,BS_40_10_AC.pickle,55,0.22690994707396628
25,BS_40,BS_40_10_AC.pickle,58,0.2961068513720649
26,BS_40,BS_40_10_AC.pickle,73,0.24522216599221244
27,BS_40,BS_40_15_AC.pickle,0,0.8395504464581676
28,BS_40,BS_40_15_AC.pickle,1,0.1258460615567772
29,BS_40,BS_40_15_AC.pickle,3,0.014169675361345885
30,BS_40,BS_40_15_AC.pickle,7,0.837109115822225
31,BS_40,BS_40_15_AC.pickle,10,0.9578813608907967
32,BS_40,BS_40_15_AC.pickle,40,0.25451574220387396
33,BS_40,BS_40_15_AC.pickle,60,0.5804001051002996
34,BS_40,BS_40_15_AC.pickle,64,0.03759098092329645
35,BS_40,BS_40_15_AC.pickle,66,0.44896762039515203
36,BS_40,BS_40_15_AC.pickle,68,0.9938834964344594
37,BS_40,BS_40_16_AC.pickle,0,0.8791357092934936
38,BS_40,BS_40_16_AC.pickle,4,0.20573922927037186
39,BS_40,BS_40_16_AC.pickle,5,0.39028837442017783
40,BS_40,BS_40_16_AC.pickle,14,0.3659933559742674
41,BS_40,BS_40_16_AC.pickle,15,0.9164189869859827
42,BS_40,BS_40_16_AC.pickle,16,0.995387002541763
43,BS_40,BS_40_16_AC.pickle,21,0.020969437618639453
44,BS_40,BS_40_16_AC.pickle,26,0.8211347250623587
45,BS_40,BS_40_16_AC.pickle,35,0.7598777780343323
46,BS_40,BS_40_18_AC.pickle,2,0.7747470788271787
47,BS_40,BS_40_18_AC.pickle,4,0.8183937494171408
48,BS_40,BS_40_18_AC.pickle,36,0.9451908096035706
49,BS_40,BS_40_18_AC.pickle,41,0.7059791353323681
50,BS_40,BS_40_18_AC.pickle,49,0.9650657741519124
51,BS_40,BS_40_19_AC.pickle,1,0.9195970587710747
52,BS_40,BS_40_19_AC.pickle,3,0.8262243775070139
53,BS_40,BS_40_19_AC.pickle,6,0.6932255648851771
54,BS_40,BS_40_19_AC.pickle,19,0.30998068232396225
55,BS_40,BS_40_19_AC.pickle,22,0.23443172227384962
56,BS_40,BS_40_19_AC.pickle,31,0.4503275209313763
57,BS_40,BS_40_19_AC.pickle,46,0.6238236917389974
58,BS_40,BS_40_19_AC.pickle,47,0.4083969077194938
59,BS_40,BS_40_19_AC.pickle,48,0.9364484658169966
60,BS_40,BS_40_22_AC.pickle,7,0.6170447789164903
61,BS_40,BS_40_22_AC.pickle,11,0.33920233529394306
62,BS_40,BS_40_2_AC.pickle,18,0.3486424385934477
63,BS_40,BS_40_2_AC.pickle,33,0.45995113778412644
64,BS_40,BS_40_2_AC.pickle,43,0.11444656888102425
65,BS_40,BS_40_2_AC.pickle,46,0.0005580187437670444
66,BS_40,BS_40_2_AC.pickle,51,0.2026649013632044
67,BS_40,BS_40_2_AC.pickle,56,0.8775900612412016
68,BS_40,BS_40_2_AC.pickle,65,0.2641324919110132
69,BS_40,BS_40_2_AC.pickle,66,0.03467143079683517
70,BS_40,BS_40_2_AC.pickle,70,0.6477638748453859
71,BS_40,BS_40_2_AC.pickle,83,0.6709379463417724
72,BS_40,BS_40_2_AC.pickle,96,0.06663163822874568
73,BS_40,BS_40_2_AC.pickle,97,0.07268662018560404
74,BS_40,BS_40_2_AC.pickle,98,0.5065224898698052
75,BS_40,BS_40_2_AC.pickle,103,0.4578877923029271
76,BS_40,BS_40_2_AC.pickle,115,0.03212384102825381
77,BS_40,BS_40_2_AC.pickle,133,0.3464428196652455
78,BS_40,BS_40_2_AC.pickle,162,0.7492080623081881
79,BS_40,BS_40_2_AC.pickle,163,0.004287011971361761
80,BS_40,BS_40_2_AC.pickle,164,0.5839335143747215
81,BS_40,BS_40_2_AC.pickle,165,0.006110682844591164
82,BS_40,BS_40_2_AC.pickle,188,0.925002866729109
83,BS_40,BS_40_2_AC.pickle,189,0.06869815173032755
84,BS_40,BS_40_2_AC.pickle,190,0.38891244234851796
85,BS_40,BS_40_2_AC.pickle,194,0.003908066351982528
86,BS_40,BS_40_2_AC.pickle,201,0.04790943089314638
87,BS_40,BS_40_2_AC.pickle,204,0.12694084587484725
88,BS_40,BS_40_2_AC.pickle,206,0.029165986318536837
89,BS_40,BS_40_2_AC.pickle,210,0.5363533754039782
90,BS_40,BS_40_2_AC.pickle,225,0.07291483912738506
91,BS_40,BS_40_2_AC.pickle,230,0.9551729492244014
92,BS_40,BS_40_3_AC.pickle,0,0.7743651120729217
93,BS_40,BS_40_3_AC.pickle,10,0.6317543780819312
94,BS_40,BS_40_3_AC.pickle,14,0.905430976985072
95,BS_40,BS_40_3_AC.pickle,15,0.08560879162180178
96,BS_40,BS_40_3_AC.pickle,23,0.06374816073947237
97,BS_40,BS_40_3_AC.pickle,24,0.6986723625815485
98,BS_40,BS_40_3_AC.pickle,30,0.22146262616471854
99,BS_40,BS_40_3_AC.pickle,53,0.22021527313702935
100,BS_40,BS_40_3_AC.pickle,57,0.617961049119454
101,BS_40,BS_40_3_AC.pickle,84,0.4092721614999322
102,BS_40,BS_40_3_AC.pickle,111,0.7035532406609681
103,BS_40,BS_40_3_AC.pickle,114,0.4205798166470067
104,BS_40,BS_40_3_AC.pickle,151,0.8540998518664641
105,BS_40,BS_40_3_AC.pickle,155,0.3649466984286137
106,BS_40,BS_40_4_AC.pickle,0,0.6052834154641475
107,BS_40,BS_40_4_AC.pickle,7,0.08171317717389415
108,BS_40,BS_40_4_AC.pickle,9,0.9464401693668285
109,BS_40,BS_40_4_AC.pickle,10,0.17962316153939056
110,BS_40,BS_40_4_AC.pickle,18,0.5114044580546773
111,BS_40,BS_40_5_AC.pickle,5,0.993004153248922
112,BS_40,BS_40_5_AC.pickle,22,0.5824073782545741
113,BS_40,BS_40_5_AC.pickle,27,0.205732334029543
114,BS_40,BS_40_6_AC.pickle,4,0.34585821316199616
115,BS_40,BS_40_6_AC.pickle,7,0.06506597365464714
116,BS_40,BS_40_6_AC.pickle,10,0.5487944325316048
117,BS_40,BS_40_6_AC.pickle,11,0.08626492013582811
118,BS_40,BS_40_6_AC.pickle,15,0.06568915013630856
119,BS_40,BS_40_6_AC.pickle,21,0.9714731738600346
120,BS_40,BS_40_6_AC.pickle,24,0.06629773568112392
121,BS_40,BS_40_6_AC.pickle,25,0.5248100508947375
122,BS_40,BS_40_6_AC.pickle,26,3.290142261900826e-05
123,BS_40,BS_40_6_AC.pickle,27,0.9788644537515483
124,BS_40,BS_40_7_AC.pickle,23,0.06533227957593168
125,BS_40,BS_40_7_AC.pickle,36,0.025630933698936275
126,BS_40,BS_40_7_AC.pickle,85,0.2588748370285475
127,BS_40,BS_40_8_AC.pickle,6,0.0006576753537185984
128,BS_40,BS_40_8_AC.pickle,33,0.8261963394486082
129,BS_40,BS_40_8_AC.pickle,40,0.8511154326758597
130,BS_40,BS_40_8_AC.pickle,44,0.44192590701040146
