,animal,learning phase,hit rate,false alarm rate,go error rate,go rate
0,BS_40,pre early,57.2462864620893,50.33763894671102,52.56758384371034,53.91370519445434
1,BS_40,pre late,70.4407531800953,50.51058502611706,62.68310489903327,60.72979591579365
2,BS_40,pre expert,50.0,0.0,0.0,28.30188679245283
3,BS_40,post early,72.59562054571033,78.59560170024585,72.90521402817883,75.52301554767706
4,BS_40,post late,84.75395027174315,77.20457703216324,82.86130081574551,81.09124954329558
5,BS_40,post expert,65.50355774493705,23.18771763216208,60.384748662906404,45.19104084321475
6,BS_41,pre early,84.74562798092211,76.49306892568347,82.70089285714286,80.70967741935485
7,BS_41,pre late,,,,
8,BS_41,pre expert,99.05660377358491,56.37268683385189,97.87234042553193,78.20359676621018
9,BS_41,post early,32.84313725490196,61.23595505617978,44.3089430894309,46.07329842931937
10,BS_41,post late,84.73335269255654,83.28574538788962,84.03739901036019,84.03108493324436
11,BS_41,post expert,98.01980198019801,48.80952380952382,85.0742063211063,75.67567567567568
12,BS_42,pre early,79.65686274509804,76.03857981548785,78.26510721247564,77.88333333333334
13,BS_42,pre late,86.39355525021055,55.02034941433393,77.62825904121111,71.15875805506737
14,BS_42,pre expert,72.16368537123253,22.8104051296998,41.937106918238996,48.583333333333336
15,BS_42,post early,90.26607310081944,81.58379998609449,88.23979089011871,86.06161417322835
16,BS_42,post late,93.02155295915445,81.63818111914998,91.47185307336632,87.47222222222223
17,BS_42,post expert,91.00245212722147,43.71500624703489,78.2902930866253,67.93358191735244
18,BS_49,pre early,38.20259995598447,34.85325376782356,35.1712424331756,36.59687948103467
19,BS_49,pre late,63.40189851060686,50.96363828094293,55.20809469263078,57.558203972714864
20,BS_49,pre expert,79.31893687707641,14.749587231700604,40.71969696969697,49.21568627450981
21,BS_49,post early,,,,
22,BS_49,post late,82.3258998886239,87.0007274375501,83.08652355307213,84.51791044776118
23,BS_49,post expert,51.61290322580644,3.3333333333333335,47.26525100918959,27.86885245901639
24,BS_50,pre early,69.78620024630962,67.01226584305877,66.93857339438496,68.44826457957974
25,BS_50,pre late,83.11595620661907,72.51189225472463,78.9033805560064,78.15034314348694
26,BS_50,pre expert,90.87643678160919,43.317307692307686,80.50271739130434,68.21320861925784
27,BS_50,post early,,,,
28,BS_50,post late,,,,
29,BS_50,post expert,,,74.84333010365278,
30,BS_51,pre early,75.96600722258488,69.39830499632959,72.30406549025022,72.81289624107968
31,BS_51,pre late,,,,
32,BS_51,pre expert,100.0,43.23979591836735,100.0,74.2063492063492
33,BS_51,post early,77.10567661210752,79.22948216477631,76.52742238981092,78.12842348297261
34,BS_51,post late,83.92197233660649,71.84620836286321,79.74385638443435,78.235771557873
35,BS_51,post expert,87.28910676768318,36.75019894544033,76.18546586589258,62.652669910734424
36,BS_56,pre early,56.44004144004144,55.12269403855164,53.99269355544319,55.798948217035694
37,BS_56,pre late,59.97552019583842,27.333333333333332,40.19607843137255,45.29062760730509
38,BS_56,pre expert,99.50495049504951,46.938775510204074,98.64864864864865,73.8851399856425
