,animal,session,cluster,p value
0,BS_108,BS_108_4_AC.pickle,26,0.48426781636683636
1,BS_108,BS_108_6_AC.pickle,9,0.05375952830797519
2,BS_108,BS_108_6_AC.pickle,35,0.4248844246383866
3,BS_108,BS_108_6_AC.pickle,47,0.39916433586052524
4,BS_108,BS_108_6_AC.pickle,49,0.7383519954302756
5,BS_108,BS_108_6_AC.pickle,72,0.552833053167178
6,BS_108,BS_108_6_AC.pickle,73,0.4383893583700643
7,BS_108,BS_108_6_AC.pickle,76,0.6496501555605083
8,BS_108,BS_108_6_AC.pickle,88,0.17267960053952208
9,BS_108,BS_108_6_AC.pickle,126,0.5722691427183959
10,BS_40,BS_40_10_AC.pickle,3,0.701366508345028
11,BS_40,BS_40_10_AC.pickle,5,0.22046724338588433
12,BS_40,BS_40_10_AC.pickle,9,1.5011678818390646e-08
13,BS_40,BS_40_10_AC.pickle,12,0.6006172338360434
14,BS_40,BS_40_10_AC.pickle,22,0.8073270191166463
15,BS_40,BS_40_10_AC.pickle,23,0.8753206230383159
16,BS_40,BS_40_10_AC.pickle,25,0.3862926401984582
17,BS_40,BS_40_10_AC.pickle,44,0.44927236575636664
18,BS_40,BS_40_10_AC.pickle,55,0.4657770542864702
19,BS_40,BS_40_10_AC.pickle,58,0.4096176801320768
20,BS_40,BS_40_10_AC.pickle,73,0.6872321739371255
21,BS_40,BS_40_12_AC.pickle,2,0.8064109154451902
22,BS_40,BS_40_12_AC.pickle,27,0.07133061259857695
23,BS_40,BS_40_12_AC.pickle,52,0.37222451985735017
24,BS_40,BS_40_12_AC.pickle,56,0.18273049135327535
25,BS_40,BS_40_12_AC.pickle,57,0.14313854883748406
26,BS_40,BS_40_12_AC.pickle,118,0.9253801436071676
27,BS_40,BS_40_15_AC.pickle,0,0.7571241223382024
28,BS_40,BS_40_15_AC.pickle,1,0.26484364946209576
29,BS_40,BS_40_15_AC.pickle,3,0.10404876749853084
30,BS_40,BS_40_15_AC.pickle,7,0.16812446777971146
31,BS_40,BS_40_15_AC.pickle,10,0.4361705589592437
32,BS_40,BS_40_15_AC.pickle,40,0.1526623273380243
33,BS_40,BS_40_15_AC.pickle,47,0.08511305465222337
34,BS_40,BS_40_15_AC.pickle,62,0.16443651705745774
35,BS_40,BS_40_15_AC.pickle,64,0.2206911362808867
36,BS_40,BS_40_15_AC.pickle,66,0.9453460176078986
37,BS_40,BS_40_15_AC.pickle,68,0.25711440722771234
38,BS_40,BS_40_16_AC.pickle,0,0.9370103905897454
39,BS_40,BS_40_16_AC.pickle,4,0.1300014625837915
40,BS_40,BS_40_16_AC.pickle,5,0.03236513345443658
41,BS_40,BS_40_16_AC.pickle,10,0.06969616700620695
42,BS_40,BS_40_16_AC.pickle,14,0.15634343614504118
43,BS_40,BS_40_16_AC.pickle,15,0.6483822679589613
44,BS_40,BS_40_16_AC.pickle,16,0.350693680792344
45,BS_40,BS_40_16_AC.pickle,21,0.01851070503043492
46,BS_40,BS_40_16_AC.pickle,24,0.654549531238082
47,BS_40,BS_40_16_AC.pickle,35,0.7397611569399353
48,BS_40,BS_40_18_AC.pickle,2,0.36325716952006337
49,BS_40,BS_40_18_AC.pickle,4,0.7285707501458658
50,BS_40,BS_40_18_AC.pickle,19,0.12287945877495851
51,BS_40,BS_40_18_AC.pickle,36,0.7587264689787659
52,BS_40,BS_40_18_AC.pickle,41,0.8450446443549634
53,BS_40,BS_40_18_AC.pickle,49,0.2788348934759452
54,BS_40,BS_40_19_AC.pickle,1,0.046456499337166994
55,BS_40,BS_40_19_AC.pickle,6,0.05374706577668424
56,BS_40,BS_40_19_AC.pickle,19,0.3693900950258232
57,BS_40,BS_40_19_AC.pickle,22,0.18452041356730606
58,BS_40,BS_40_19_AC.pickle,31,0.765384643901555
59,BS_40,BS_40_19_AC.pickle,34,0.07401566310857012
60,BS_40,BS_40_19_AC.pickle,46,0.5718658186389303
61,BS_40,BS_40_19_AC.pickle,47,0.5994673524677473
62,BS_40,BS_40_19_AC.pickle,48,0.6748674989621194
63,BS_40,BS_40_21_AC.pickle,49,0.06682508620657403
64,BS_40,BS_40_21_AC.pickle,54,0.266569703380069
65,BS_40,BS_40_2_AC.pickle,15,0.2774686612839257
66,BS_40,BS_40_2_AC.pickle,18,0.03491237453963599
67,BS_40,BS_40_2_AC.pickle,33,0.854919807778475
68,BS_40,BS_40_2_AC.pickle,43,0.12636692022602541
69,BS_40,BS_40_2_AC.pickle,45,0.8543932813064644
70,BS_40,BS_40_2_AC.pickle,46,0.4882493279672583
71,BS_40,BS_40_2_AC.pickle,51,0.32322008669032565
72,BS_40,BS_40_2_AC.pickle,56,0.19539182652522696
73,BS_40,BS_40_2_AC.pickle,58,0.11352107461817373
74,BS_40,BS_40_2_AC.pickle,61,0.48194643052972763
75,BS_40,BS_40_2_AC.pickle,65,0.23103624169882306
76,BS_40,BS_40_2_AC.pickle,66,0.08859073661688055
77,BS_40,BS_40_2_AC.pickle,67,0.19504548135570599
78,BS_40,BS_40_2_AC.pickle,70,0.003820662858715394
79,BS_40,BS_40_2_AC.pickle,72,0.8256596577117779
80,BS_40,BS_40_2_AC.pickle,96,0.14557279296982523
81,BS_40,BS_40_2_AC.pickle,97,0.518089854786798
82,BS_40,BS_40_2_AC.pickle,98,0.9141257449144071
83,BS_40,BS_40_2_AC.pickle,103,0.5265817277998553
84,BS_40,BS_40_2_AC.pickle,115,0.6420840672216901
85,BS_40,BS_40_2_AC.pickle,120,0.4693958399082404
86,BS_40,BS_40_2_AC.pickle,133,0.7264209294914106
87,BS_40,BS_40_2_AC.pickle,162,0.018178346492812508
88,BS_40,BS_40_2_AC.pickle,164,0.23792691851401185
89,BS_40,BS_40_2_AC.pickle,165,0.003451391663738538
90,BS_40,BS_40_2_AC.pickle,166,0.9756800393569145
91,BS_40,BS_40_2_AC.pickle,188,0.37062166841123945
92,BS_40,BS_40_2_AC.pickle,189,0.0196022681937975
93,BS_40,BS_40_2_AC.pickle,190,0.509705949867503
94,BS_40,BS_40_2_AC.pickle,194,0.13449754466663616
95,BS_40,BS_40_2_AC.pickle,195,0.9968010721255345
96,BS_40,BS_40_2_AC.pickle,201,0.4862820580306174
97,BS_40,BS_40_2_AC.pickle,204,0.06833192795503498
98,BS_40,BS_40_2_AC.pickle,206,0.6456128517684969
99,BS_40,BS_40_2_AC.pickle,212,0.056894861534311926
100,BS_40,BS_40_2_AC.pickle,213,0.8325582047634384
101,BS_40,BS_40_2_AC.pickle,225,0.6783862365868267
102,BS_40,BS_40_2_AC.pickle,230,0.48891811654830175
103,BS_40,BS_40_3_AC.pickle,0,0.026954773608625426
104,BS_40,BS_40_3_AC.pickle,10,0.33490420931662956
105,BS_40,BS_40_3_AC.pickle,14,0.26936956615514707
106,BS_40,BS_40_3_AC.pickle,15,0.05636817157430127
107,BS_40,BS_40_3_AC.pickle,23,0.38390282162941525
108,BS_40,BS_40_3_AC.pickle,37,0.7435679723131952
109,BS_40,BS_40_3_AC.pickle,53,0.9698522198910732
110,BS_40,BS_40_3_AC.pickle,57,0.7511784793779037
111,BS_40,BS_40_3_AC.pickle,71,0.6795921562891889
112,BS_40,BS_40_3_AC.pickle,81,0.3955387106978221
113,BS_40,BS_40_3_AC.pickle,84,0.3187058701787364
114,BS_40,BS_40_3_AC.pickle,105,0.47069677573970536
115,BS_40,BS_40_3_AC.pickle,108,0.4475292833573258
116,BS_40,BS_40_3_AC.pickle,111,0.9626597144192977
117,BS_40,BS_40_3_AC.pickle,114,0.7248697600254321
118,BS_40,BS_40_3_AC.pickle,155,0.14928025439540205
119,BS_40,BS_40_4_AC.pickle,0,0.22779327060337148
120,BS_40,BS_40_4_AC.pickle,7,0.5745124410455066
121,BS_40,BS_40_4_AC.pickle,9,0.7580141375473128
122,BS_40,BS_40_4_AC.pickle,10,0.3573149807276641
