,animal,session,d',learning phase
0,AE_368,1,-0.21314751307861723,pre early
1,AE_368,2,-0.21437646049626435,pre early
2,AE_368,3,0.15718692809343005,pre early
3,AE_368,4,-0.030747273424515553,pre early
4,AE_368,5,0.30697342842254494,pre early
5,AE_368,6,0.7017080264676496,pre late
6,AE_368,7,0.8627875338319657,pre late
7,AE_368,8,1.9863707046431684,pre expert
8,AE_368,9,1.4417216983272692,pre expert
9,AE_368,10,2.0646069999817382,pre expert
10,AE_368,11,2.551046550433092,pre expert
11,AE_369,1,0.2529452634741373,pre early
12,AE_369,2,-0.014471038493633015,pre early
13,AE_369,3,0.0036865349967066807,pre early
14,AE_369,4,0.17790385882156134,pre early
15,AE_369,5,0.606824667799787,pre late
16,AE_369,6,1.8247676022730754,pre expert
17,AE_369,7,1.9903587039269481,pre expert
18,AE_369,8,1.64381527208704,pre expert
19,AE_369,9,2.041076874535579,pre expert
20,AE_369,10,1.70338154313837,pre expert
