,animal,session,cluster ID,phase,condition,FR modulation,Choice modulation
0,BS_108,BS_108_1_AC.pickle,2,pre expert,behaving,9.972451790633608,3.977272727272727
1,BS_108,BS_108_1_AC.pickle,8,pre expert,behaving,21.7741935483871,0.4868913857677907
2,BS_108,BS_108_1_AC.pickle,9,pre expert,behaving,15.806451612903228,10.0
3,BS_108,BS_108_1_AC.pickle,14,pre expert,behaving,10.964187327823693,6.969696969696969
4,BS_108,BS_108_1_AC.pickle,34,pre expert,behaving,16.989247311827963,12.95880149812734
5,BS_108,BS_108_1_AC.pickle,35,pre expert,behaving,13.064516129032258,3.857677902621722
6,BS_108,BS_108_2_AC.pickle,2,pre expert,behaving,15.402298850574715,7.098039215686273
7,BS_108,BS_108_2_AC.pickle,7,pre expert,behaving,6.321839080459773,5.80392156862745
8,BS_108,BS_108_2_AC.pickle,26,pre expert,behaving,3.563218390804598,1.7647058823529411
9,BS_108,BS_108_4_AC.pickle,26,post early,behaving,2.8528528528528545,0.9885057471264368
10,BS_108,BS_108_4_AC.pickle,93,post early,behaving,1.9721329046087879,1.6666666666666667
11,BS_108,BS_108_6_AC.pickle,2,post early,behaving,3.446969696969696,1.8051282051282054
12,BS_108,BS_108_6_AC.pickle,3,post early,behaving,5.959595959595956,3.7974683544303796
13,BS_108,BS_108_6_AC.pickle,9,post early,behaving,3.833333333333334,1.7676767676767675
14,BS_108,BS_108_6_AC.pickle,33,post early,behaving,3.2600732600732596,1.996336996336996
15,BS_108,BS_108_6_AC.pickle,35,post early,behaving,4.944944944944941,3.294871794871795
16,BS_108,BS_108_6_AC.pickle,38,post early,behaving,4.245210727969349,2.4125230202578267
17,BS_108,BS_108_6_AC.pickle,39,post early,behaving,1.6757741347905284,0.4735883424408016
18,BS_108,BS_108_6_AC.pickle,47,post early,behaving,15.825734549138806,4.661458333333333
19,BS_108,BS_108_6_AC.pickle,48,post early,behaving,9.593869731800776,7.458563535911602
20,BS_108,BS_108_6_AC.pickle,49,post early,behaving,7.203065134099624,5.755064456721915
21,BS_108,BS_108_6_AC.pickle,50,post early,behaving,2.1149425287356345,1.4640883977900552
22,BS_108,BS_108_6_AC.pickle,72,post early,behaving,2.7279693486590064,1.335174953959484
23,BS_108,BS_108_6_AC.pickle,73,post early,behaving,5.633528265107213,1.2143742255266416
24,BS_108,BS_108_6_AC.pickle,76,post early,behaving,1.5172413793103448,0.8931860036832411
25,BS_108,BS_108_6_AC.pickle,78,post early,behaving,1.313432835820895,0.7255520504731859
