,animal,session,cluster ID,learning phase,Stimulus decoding,Choice decoding
0,BS_108,BS_108_1_AC.pickle,2,pre expert,0.565956218,
1,BS_108,BS_108_1_AC.pickle,8,pre expert,0.720859295,0.6440255422480141
2,BS_108,BS_108_1_AC.pickle,9,pre expert,0.560515438,0.6345388813433755
3,BS_108,BS_108_1_AC.pickle,14,pre expert,0.535172779,
4,BS_108,BS_108_1_AC.pickle,34,pre expert,0.641831651,
5,BS_108,BS_108_1_AC.pickle,35,pre expert,0.526369899,
6,BS_108,BS_108_2_AC.pickle,2,pre expert,0.570132168,0.7071087459030533
7,BS_108,BS_108_2_AC.pickle,7,pre expert,0.621584347,
8,BS_108,BS_108_2_AC.pickle,26,pre expert,0.568881958,
9,BS_108,BS_108_4_AC.pickle,26,post early,0.468790034,
10,BS_108,BS_108_4_AC.pickle,93,post early,,
11,BS_108,BS_108_6_AC.pickle,2,post early,0.654114463,
12,BS_108,BS_108_6_AC.pickle,3,post early,0.5311937,
13,BS_108,BS_108_6_AC.pickle,9,post early,0.638489691,
14,BS_108,BS_108_6_AC.pickle,33,post early,0.563574515,
15,BS_108,BS_108_6_AC.pickle,35,post early,0.551951797,
16,BS_108,BS_108_6_AC.pickle,38,post early,0.46182943,
17,BS_108,BS_108_6_AC.pickle,39,post early,0.454315231,
18,BS_108,BS_108_6_AC.pickle,47,post early,0.677367625,0.6345983129669989
19,BS_108,BS_108_6_AC.pickle,48,post early,0.637075162,0.4472109316910168
20,BS_108,BS_108_6_AC.pickle,49,post early,0.550306521,0.5011327043894084
21,BS_108,BS_108_6_AC.pickle,50,post early,0.481388727,
22,BS_108,BS_108_6_AC.pickle,72,post early,0.496790036,
23,BS_108,BS_108_6_AC.pickle,73,post early,0.526657658,0.5998157426192962
24,BS_108,BS_108_6_AC.pickle,76,post early,0.460538311,
25,BS_108,BS_108_6_AC.pickle,78,post early,0.563893367,
26,BS_108,BS_108_6_AC.pickle,79,post early,0.607929196,
27,BS_108,BS_108_6_AC.pickle,82,post early,0.504890667,
28,BS_108,BS_108_6_AC.pickle,88,post early,0.513825627,
29,BS_108,BS_108_6_AC.pickle,90,post early,0.495080247,
30,BS_108,BS_108_6_AC.pickle,125,post early,0.531513782,
31,BS_108,BS_108_6_AC.pickle,126,post early,0.743181818,0.4689737310476802
32,BS_108,BS_108_6_AC.pickle,133,post early,0.595662485,0.4592092877449959
33,BS_40,BS_40_10_AC.pickle,0,pre late,,
34,BS_40,BS_40_10_AC.pickle,2,pre late,0.531796171,
35,BS_40,BS_40_10_AC.pickle,3,pre late,0.539671247,0.5382962224242881
36,BS_40,BS_40_10_AC.pickle,5,pre late,0.590702494,0.6032375545514234
37,BS_40,BS_40_10_AC.pickle,9,pre late,0.556646508,0.6622674081798172
38,BS_40,BS_40_10_AC.pickle,12,pre late,0.572211898,0.5823555555555556
39,BS_40,BS_40_10_AC.pickle,20,pre late,0.485481566,
40,BS_40,BS_40_10_AC.pickle,22,pre late,0.50039318,
41,BS_40,BS_40_10_AC.pickle,23,pre late,0.543204078,0.5274726760128222
42,BS_40,BS_40_10_AC.pickle,24,pre late,0.530967304,0.4684455258177888
43,BS_40,BS_40_10_AC.pickle,25,pre late,0.52030103,
44,BS_40,BS_40_10_AC.pickle,44,pre late,0.558413814,0.5272236887671707
45,BS_40,BS_40_10_AC.pickle,50,pre late,0.514682549,
46,BS_40,BS_40_10_AC.pickle,53,pre late,0.519310996,
47,BS_40,BS_40_10_AC.pickle,55,pre late,0.517833487,0.6514965434673468
48,BS_40,BS_40_10_AC.pickle,58,pre late,0.516176919,0.6063044065963777
49,BS_40,BS_40_10_AC.pickle,73,pre late,0.545309227,0.5504151333869357
50,BS_40,BS_40_12_AC.pickle,2,pre expert,0.582994879,0.6001235360360361
51,BS_40,BS_40_12_AC.pickle,5,pre expert,0.273508164,
52,BS_40,BS_40_12_AC.pickle,6,pre expert,,
53,BS_40,BS_40_12_AC.pickle,27,pre expert,0.539015121,
54,BS_40,BS_40_12_AC.pickle,29,pre expert,0.57134,
