,animal,session,cluster ID,phase,condition,FR modulation,Choice modulation
0,BS_108,BS_108_1_AC.pickle,8,pre expert,behaving,21.7741935483871,0.4868913857677907
1,BS_108,BS_108_1_AC.pickle,9,pre expert,behaving,15.806451612903228,10.0
2,BS_108,BS_108_2_AC.pickle,2,pre expert,behaving,15.402298850574715,7.098039215686273
3,BS_108,BS_108_6_AC.pickle,47,post early,behaving,15.825734549138806,4.661458333333333
4,BS_40,BS_40_10_AC.pickle,5,pre late,behaving,5.855555555555559,8.13463098134631
5,BS_40,BS_40_12_AC.pickle,2,pre expert,behaving,3.647798742138366,4.999999999999998
6,BS_40,BS_40_15_AC.pickle,0,post early,behaving,1.2209302325581386,3.606837606837606
7,BS_40,BS_40_2_AC.pickle,61,pre late,behaving,14.625850340136058,1.6925734024179617
8,BS_40,BS_40_2_AC.pickle,103,pre late,behaving,18.82653061224488,2.037996545768566
9,BS_40,BS_40_2_AC.pickle,115,pre late,behaving,10.26365348399247,6.506986027944112
10,BS_40,BS_40_2_AC.pickle,194,pre late,behaving,11.326530612244886,17.512953367875646
11,BS_40,BS_40_2_AC.pickle,195,pre late,behaving,10.850340136054427,1.8307426597582035
12,BS_40,BS_40_2_AC.pickle,225,pre late,behaving,28.21428571428572,13.83419689119171
13,BS_40,BS_40_3_AC.pickle,14,pre late,behaving,11.430745814307462,7.1557971014492745
14,BS_40,BS_40_3_AC.pickle,57,pre late,behaving,13.850837138508362,1.9384057971014494
15,BS_40,BS_40_3_AC.pickle,81,pre late,behaving,3.8051750380517504,11.503623188405797
16,BS_40,BS_40_3_AC.pickle,155,pre late,behaving,16.910197869101975,6.775362318840579
17,BS_40,BS_40_6_AC.pickle,15,pre late,behaving,15.859766277128557,2.6283724978241945
18,BS_40,BS_40_6_AC.pickle,27,pre late,behaving,1.8809126321647172,3.672758920800695
19,BS_41,BS_41_4_AC.pickle,19,post late,behaving,14.96183206106869,6.259968102073364
20,BS_41,BS_41_4_AC.pickle,20,post late,behaving,3.1424936386768474,3.1419457735247214
21,BS_41,BS_41_4_AC.pickle,66,post late,behaving,4.147582697201017,0.29505582137161096
22,BS_41,BS_41_7_AC.pickle,0,post late,behaving,2.011494252873561,1.9118692253020606
23,BS_41,BS_41_8_AC.pickle,13,post late,behaving,3.138173302107734,1.1872146118721463
24,BS_41,BS_41_8_AC.pickle,61,post late,behaving,10.087719298245611,0.1269841269841269
25,BS_41,BS_41_8_AC.pickle,67,post late,behaving,1.5677321156773214,0.47999999999999987
26,BS_41,BS_41_8_AC.pickle,82,post late,behaving,4.712371946414507,4.801477377654663
27,BS_41,BS_41_9_AC.pickle,37,post late,behaving,20.890493381468115,7.400379506641366
28,BS_42,BS_42_11_AC.pickle,44,post expert,behaving,41.99513381995131,4.894514767932489
29,BS_42,BS_42_2_AC.pickle,82,post early,behaving,19.83999999999999,2.616562282533055
30,BS_42,BS_42_4_AC.pickle,41,post early,behaving,38.7802313354363,12.972350230414747
31,BS_49,BS_49_12_AC.pickle,10,pre expert,behaving,10.3030303030303,9.962121212121211
32,BS_49,BS_49_4_AC.pickle,27,pre early,behaving,13.533333333333328,10.555555555555555
33,BS_49,BS_49_4_AC.pickle,53,pre early,behaving,34.66666666666667,10.0
34,BS_49,BS_49_4_AC.pickle,56,pre early,behaving,16.20000000000001,5.5555555555555545
35,BS_49,BS_49_4_AC.pickle,68,pre early,behaving,16.199999999999992,0.0
36,BS_50,BS_50_2_AC.pickle,35,pre early,behaving,27.338501291989672,1.898148148148148
37,BS_50,BS_50_3_AC.pickle,3,pre early,behaving,65.79047619047616,28.893740902474523
38,BS_50,BS_50_3_AC.pickle,16,pre early,behaving,3.6571428571428584,0.02911208151382851
39,BS_50,BS_50_3_AC.pickle,34,pre early,behaving,9.31428571428572,6.695778748180494
40,BS_50,BS_50_3_AC.pickle,41,pre early,behaving,37.3904761904762,13.173216885007278
41,BS_56,BS_56_3_AC.pickle,35,post expert,behaving,4.383333333333336,2.059123343527014
42,BS_70,BS_70_1_AC.pickle,1,pre late,behaving,12.5626204238921,11.18881118881119
43,BS_70,BS_70_6_AC.pickle,51,post early,behaving,1.7329255861365935,4.67005076142132
44,BS_70,BS_70_8_AC.pickle,20,post late,behaving,3.737166324435318,0.5119825708061003
45,BS_70,BS_70_8_AC.pickle,36,post late,behaving,2.2771535580524342,0.1767676767676777
46,BS_70,BS_70_9_AC.pickle,48,post late,behaving,6.0903426791277235,2.406311637080868
47,BS_72,BS_72_10_AC.pickle,18,post late,behaving,13.402061855670107,0.23310023310023317
48,BS_72,BS_72_4_AC.pickle,115,post early,behaving,29.14965986394558,5.923172242874844
49,BS_72,BS_72_5_AC.pickle,10,post late,behaving,39.34666666666668,1.043543543543543
50,BS_72,BS_72_5_AC.pickle,42,post late,behaving,35.62666666666672,20.18768768768769
51,BS_72,BS_72_6_AC.pickle,40,post late,behaving,21.863799283154098,6.0
52,BS_87,BS_87_1_AC.pickle,12,pre expert,behaving,29.97289972899729,9.019607843137255
53,BS_87,BS_87_1_AC.pickle,39,pre expert,behaving,67.80487804878047,13.823529411764707
54,BS_87,BS_87_2_AC.pickle,25,pre expert,behaving,28.447837150127228,2.6940639269406392
55,BS_87,BS_87_4_AC.pickle,3,post early,behaving,25.031446540880523,17.713963963963963
56,BS_87,BS_87_4_AC.pickle,18,post early,behaving,5.424528301886788,2.77027027027027
57,BS_87,BS_87_4_AC.pickle,19,post early,behaving,2.9874213836478005,0.6869369369369369
58,BS_87,BS_87_4_AC.pickle,26,post early,behaving,33.738848337388504,22.15204678362573
59,BS_87,BS_87_4_AC.pickle,27,post early,behaving,23.09748427672956,7.691441441441443
60,BS_87,BS_87_4_AC.pickle,34,post early,behaving,22.123142250530776,7.8522336769759455
61,BS_87,BS_87_4_AC.pickle,38,post early,behaving,23.238993710691823,9.684684684684687
62,BS_87,BS_87_4_AC.pickle,45,post early,behaving,5.786163522012576,1.3513513513513518
63,BS_87,BS_87_4_AC.pickle,57,post early,behaving,31.69811320754721,10.934684684684687
64,BS_87,BS_87_4_AC.pickle,73,post early,behaving,18.3018867924528,8.524774774774773
65,BS_87,BS_87_4_AC.pickle,74,post early,behaving,7.738478027867095,1.2565445026178008
66,BS_87,BS_87_4_AC.pickle,172,post early,behaving,7.169811320754737,1.7905405405405406
